ds,y
2016-1-1,408
2016-1-2,409
2016-1-3,409
2016-1-4,409
2016-1-5,401
2016-1-6,396
2016-1-7,392
2016-1-8,392
2016-1-9,392
2016-1-10,395
2016-1-11,395
2016-1-12,395
2016-1-13,395
2016-1-14,386
2016-1-15,386
2016-1-16,386
2016-1-17,386
2016-1-18,386
2016-1-19,386
2016-1-20,386
2016-1-21,390
2016-1-22,395
2016-1-23,408
2016-1-24,410
2016-1-25,417
2016-1-26,428
2016-1-27,413
2016-1-28,405
2016-1-29,398
2016-1-30,398
2016-1-31,388
2016-2-1,388
2016-2-2,370
2016-2-3,370
2016-2-4,363
2016-2-5,363
2016-2-6,356
2016-2-7,356
2016-2-8,356
2016-2-9,356
2016-2-10,356
2016-2-11,356
2016-2-12,356
2016-2-13,356
2016-2-14,350
2016-2-15,343
2016-2-16,335
2016-2-17,328
2016-2-18,325
2016-2-19,325
2016-2-20,320
2016-2-21,319
2016-2-22,319
2016-2-23,317
2016-2-24,312
2016-2-25,312
2016-2-26,305
2016-2-27,305
2016-2-28,300
2016-3-1,290
2016-3-2,290
2016-3-3,272
2016-3-4,272
2016-3-5,278
2016-3-6,298
2016-3-7,298
2016-3-8,298
2016-3-9,290
2016-3-10,285
2016-3-11,272
2016-3-12,275
2016-3-13,278
2016-3-14,278
2016-3-15,278
2016-3-16,278
2016-3-17,280
2016-3-18,287
2016-3-19,292
2016-3-20,295
2016-3-21,295
2016-3-22,300
2016-3-23,308
2016-3-24,314
2016-3-25,316
2016-3-26,316
2016-3-27,316
2016-3-28,316
2016-3-29,310
2016-3-30,305
2016-3-31,305
2016-4-1,305
2016-4-2,307
2016-4-3,307
2016-4-4,307
2016-4-5,307
2016-4-6,295
2016-4-7,285
2016-4-8,280
2016-4-9,283
2016-4-10,283
2016-4-11,283
2016-4-12,283
2016-4-13,283
2016-4-14,283
2016-4-15,283
2016-4-16,283
2016-4-17,283
2016-4-18,283
2016-4-19,283
2016-4-20,275
2016-4-21,265
2016-4-22,265
2016-4-23,260
2016-4-24,260
2016-4-25,260
2016-4-26,262
2016-4-27,262
2016-4-28,265
2016-4-29,272
2016-4-30,278
2016-5-1,285
2016-5-2,297
2016-5-3,309
2016-5-4,325
2016-5-5,339
2016-5-6,342
2016-5-7,344
2016-5-8,349
2016-5-9,365
2016-5-10,375
2016-5-11,375
2016-5-12,375
