ds,y
2016-1-1,428
2016-1-2,428
2016-1-3,428
2016-1-4,428
2016-1-5,428
2016-1-6,428
2016-1-7,428
2016-1-8,420
2016-1-9,420
2016-1-10,420
2016-1-11,420
2016-1-12,420
2016-1-13,420
2016-1-14,420
2016-1-15,420
2016-1-16,420
2016-1-17,420
2016-1-18,420
2016-1-19,420
2016-1-20,420
2016-1-21,420
2016-1-22,420
2016-1-23,420
2016-1-24,420
2016-1-25,420
2016-1-26,425
2016-1-27,425
2016-1-28,425
2016-1-29,425
2016-1-30,425
2016-1-31,425
2016-2-1,425
2016-2-2,410
2016-2-3,410
2016-2-4,410
2016-2-5,390
2016-2-6,390
2016-2-7,385
2016-2-8,385
2016-2-9,385
2016-2-10,385
2016-2-11,385
2016-2-12,385
2016-2-13,385
2016-2-14,385
2016-2-15,385
2016-2-16,385
2016-2-17,385
2016-2-18,385
2016-2-19,385
2016-2-20,385
2016-2-21,385
2016-2-22,385
2016-2-23,385
2016-2-24,385
2016-2-25,385
2016-2-26,365
2016-2-27,365
2016-2-28,347
2016-3-1,335
2016-3-2,335
2016-3-3,335
2016-3-4,335
2016-3-5,335
2016-3-6,335
2016-3-7,335
2016-3-8,345
2016-3-9,345
2016-3-10,345
2016-3-11,345
2016-3-12,345
2016-3-13,345
2016-3-14,345
2016-3-15,345
2016-3-16,345
2016-3-17,345
2016-3-18,325
2016-3-19,325
2016-3-20,325
2016-3-21,325
2016-3-22,335
2016-3-23,335
2016-3-24,335
2016-3-25,345
2016-3-26,345
2016-3-27,355
2016-3-28,355
2016-3-29,355
2016-3-30,355
2016-3-31,355
2016-4-1,355
2016-4-2,355
2016-4-3,355
2016-4-4,355
2016-4-5,355
2016-4-6,355
2016-4-7,355
2016-4-8,355
2016-4-9,355
2016-4-10,355
2016-4-11,355
2016-4-12,355
2016-4-13,355
2016-4-14,355
2016-4-15,355
2016-4-16,355
2016-4-17,350
2016-4-18,350
2016-4-19,345
2016-4-20,345
2016-4-21,345
2016-4-22,345
2016-4-23,345
2016-4-24,335
2016-4-25,335
2016-4-26,315
2016-4-27,315
