ds,y
2016-1-1,452
2016-1-2,452
2016-1-3,452
2016-1-4,452
2016-1-5,443
2016-1-6,443
2016-1-7,433
2016-1-8,433
2016-1-9,433
2016-1-10,433
2016-1-11,433
2016-1-12,433
2016-1-13,433
2016-1-14,433
2016-1-15,433
2016-1-16,433
2016-1-17,424
2016-1-18,424
2016-1-19,424
2016-1-20,423
2016-1-21,423
2016-1-22,423
2016-1-23,443
2016-1-24,443
2016-1-25,452
2016-1-26,452
2016-1-27,452
2016-1-28,452
2016-1-29,438
2016-1-30,438
2016-1-31,424
2016-2-1,424
2016-2-2,420
2016-2-3,419
2016-2-4,405
2016-2-5,395
2016-2-6,395
2016-2-7,395
2016-2-8,395
2016-2-9,390
2016-2-10,390
2016-2-11,395
2016-2-12,395
2016-2-13,395
2016-2-14,386
2016-2-15,381
2016-2-16,371
2016-2-17,371
2016-2-18,357
2016-2-19,357
2016-2-20,352
2016-2-21,352
2016-2-22,352
2016-2-23,352
2016-2-24,352
2016-2-25,352
2016-2-26,352
2016-2-27,343
2016-2-28,343
2016-3-1,333
2016-3-2,333
2016-3-3,324
2016-3-4,324
2016-3-5,314
2016-3-6,314
2016-3-7,314
2016-3-8,324
2016-3-9,324
2016-3-10,314
2016-3-11,324
2016-3-12,314
2016-3-13,314
2016-3-14,314
2016-3-15,314
2016-3-16,305
2016-3-17,315
2016-3-18,315
2016-3-19,323
2016-3-20,324
2016-3-21,324
2016-3-22,324
2016-3-23,333
2016-3-24,343
2016-3-25,343
2016-3-26,348
2016-3-27,348
2016-3-28,348
2016-3-29,348
2016-3-30,348
2016-3-31,348
2016-4-1,348
2016-4-2,348
2016-4-3,348
2016-4-4,343
2016-4-5,343
2016-4-6,328
2016-4-7,328
2016-4-8,319
2016-4-9,319
2016-4-10,319
2016-4-11,319
2016-4-12,319
2016-4-13,319
2016-4-14,319
2016-4-15,319
2016-4-16,319
2016-4-17,319
2016-4-18,319
2016-4-19,319
2016-4-20,319
2016-4-21,319
2016-4-22,319
2016-4-23,319
2016-4-24,319
2016-4-25,319
2016-4-26,319
2016-4-27,319
2016-4-28,319
2016-4-29,319
2016-4-30,319
2016-5-1,333
2016-5-2,333
2016-5-3,343
2016-5-4,348
2016-5-5,362
2016-5-6,362
2016-5-7,376
2016-5-8,390
2016-5-9,390
2016-5-10,395
2016-5-11,395
2016-5-12,395
2016-5-13,400
2016-5-14,400
2016-5-15,400
2016-5-16,390
2016-5-17,390
2016-5-18,376
2016-5-19,376
2016-5-20,376
2016-5-21,367
2016-5-22,367
2016-5-23,367
2016-5-24,367
2016-5-25,367
2016-5-26,367
2016-5-27,367
2016-5-28,367
2016-5-29,367
2016-5-30,367
2016-5-31,367
2016-6-1,367
2016-6-2,371
2016-6-3,371
2016-6-4,371
2016-6-5,381
2016-6-6,381
2016-6-7,381
2016-6-8,381
2016-6-9,381
2016-6-10,386
2016-6-11,386
2016-6-12,390
2016-6-13,400
2016-6-14,405
2016-6-15,405
2016-6-16,409
2016-6-17,409
2016-6-18,409
2016-6-19,409
2016-6-20,409
2016-6-21,419
2016-6-22,428
2016-6-23,428
2016-6-24,428
2016-6-25,428
2016-6-26,428
2016-6-27,428
2016-6-28,419
2016-6-29,419
