ds,y
2016-1-1,457
2016-1-2,457
2016-1-3,457
2016-1-4,457
2016-1-5,450
2016-1-6,450
2016-1-7,450
2016-1-8,450
2016-1-9,450
2016-1-10,450
2016-1-11,450
2016-1-12,440
2016-1-13,440
2016-1-14,440
2016-1-15,440
2016-1-16,440
2016-1-17,432
2016-1-18,432
2016-1-19,430
2016-1-20,430
2016-1-21,430
2016-1-22,430
2016-1-23,440
2016-1-24,443
2016-1-25,452
2016-1-26,460
2016-1-27,460
2016-1-28,460
2016-1-29,460
2016-1-30,460
2016-1-31,457
2016-2-1,457
2016-2-2,457
2016-2-3,450
2016-2-4,450
2016-2-5,450
2016-2-6,403
2016-2-7,420
2016-2-8,420
2016-2-9,410
2016-2-10,410
2016-2-11,400
2016-2-12,400
2016-2-13,400
2016-2-14,400
2016-2-15,393
2016-2-16,393
2016-2-17,390
2016-2-18,390
2016-2-19,390
2016-2-20,380
2016-2-21,380
2016-2-22,380
2016-2-23,380
2016-2-24,370
2016-2-25,370
2016-2-26,370
2016-2-27,360
2016-2-28,353
2016-3-1,350
2016-3-2,350
2016-3-3,340
2016-3-4,340
2016-3-5,330
2016-3-6,330
2016-3-7,330
2016-3-8,330
2016-3-9,330
2016-3-10,330
2016-3-11,330
2016-3-12,330
2016-3-13,330
2016-3-14,320
2016-3-15,320
2016-3-16,320
2016-3-17,320
2016-3-18,320
2016-3-19,330
2016-3-20,330
2016-3-21,330
2016-3-22,340
2016-3-23,340
2016-3-24,350
2016-3-25,350
2016-3-26,350
2016-3-27,350
2016-3-28,350
2016-3-29,350
2016-3-30,350
2016-3-31,350
2016-4-1,350
2016-4-2,350
2016-4-3,350
2016-4-4,350
2016-4-5,350
2016-4-6,350
2016-4-7,350
2016-4-8,350
2016-4-9,350
2016-4-10,350
2016-4-11,350
2016-4-12,330
2016-4-13,330
2016-4-14,330
2016-4-15,330
2016-4-16,330
2016-4-17,330
2016-4-18,330
2016-4-19,330
2016-4-20,330
2016-4-21,330
2016-4-22,330
2016-4-23,330
2016-4-24,330
2016-4-25,330
2016-4-26,330
2016-4-27,330
2016-4-28,330
2016-4-29,330
2016-4-30,330
2016-5-1,333
2016-5-2,333
2016-5-3,340
2016-5-4,350
2016-5-5,370
2016-5-6,380
2016-5-7,380
2016-5-8,380
2016-5-9,390
2016-5-10,400
2016-5-11,400
2016-5-12,400
2016-5-13,400
2016-5-14,400
2016-5-15,400
2016-5-16,410
2016-5-17,410
2016-5-18,410
2016-5-19,410
2016-5-20,410
2016-5-21,400
2016-5-22,400
2016-5-23,400
2016-5-24,400
2016-5-25,400
2016-5-26,390
2016-5-27,390
2016-5-28,390
2016-5-29,380
2016-5-30,380
2016-5-31,380
2016-6-1,380
2016-6-2,380
2016-6-3,380
2016-6-4,380
2016-6-5,380
2016-6-6,380
2016-6-7,380
2016-6-8,391
2016-6-9,390
2016-6-10,390
2016-6-11,390
2016-6-12,390
2016-6-13,390
2016-6-14,400
2016-6-15,410
2016-6-16,410
2016-6-17,410
2016-6-18,410
2016-6-19,410
2016-6-20,410
2016-6-21,430
2016-6-22,430
2016-6-23,440
2016-6-24,440
2016-6-25,440
2016-6-26,440
2016-6-27,440
2016-6-28,440
2016-6-29,440
2016-6-30,440
2016-7-1,440
2016-7-2,440
2016-7-3,440
2016-7-4,440
2016-7-5,440
2016-7-6,440
2016-7-7,440
2016-7-8,440
2016-7-9,450
2016-7-10,453
2016-7-11,453
2016-7-12,453
2016-7-13,460
2016-7-14,467
2016-7-15,467
2016-7-16,470
2016-7-17,470
2016-7-18,470
2016-7-19,470
2016-7-20,470
2016-7-21,470
2016-7-22,470
2016-7-23,465
2016-7-24,462
2016-7-25,462
2016-7-26,457
2016-7-27,457
2016-7-28,457
2016-7-29,457
2016-7-30,450
2016-7-31,450
2016-8-1,430
2016-8-2,430
2016-8-3,430
2016-8-4,430
2016-8-5,430
2016-8-6,430
2016-8-7,443
2016-8-8,443
2016-8-9,450
2016-8-10,450
2016-8-11,464
2016-8-12,477
2016-8-13,477
2016-8-14,477
2016-8-15,477
2016-8-16,477
2016-8-17,477
2016-8-18,477
2016-8-19,477
2016-8-20,477
2016-8-21,477
2016-8-22,477
2016-8-23,477
2016-8-24,477
2016-8-25,477
2016-8-26,477
2016-8-27,467
2016-8-28,467
2016-8-29,467
2016-8-30,457
2016-8-31,457
2016-9-1,390
2016-9-2,390
2016-9-3,390
2016-9-4,390
2016-9-5,390
2016-9-6,390
2016-9-7,390
2016-9-8,380
2016-9-9,380
2016-9-10,380
2016-9-11,387
2016-9-12,390
2016-9-13,390
2016-9-14,407
2016-9-15,407
2016-9-16,407
2016-9-17,407
2016-9-18,407
2016-9-19,407
2016-9-20,407
2016-9-21,407
2016-9-22,400
2016-9-23,400
2016-9-24,400
2016-9-25,400
2016-9-26,400
2016-9-27,400
2016-9-28,390
2016-9-29,390
2016-9-30,390
2016-10-1,390
2016-10-2,390
2016-10-3,390
2016-10-4,380
2016-10-5,380
2016-10-6,380
2016-10-7,380
2016-10-8,380
2016-10-9,380
2016-10-10,390
2016-10-11,390
2016-10-12,390
2016-10-13,390
2016-10-14,390
2016-10-15,390
2016-10-16,390
2016-10-17,390
2016-10-18,400
