ds,y
2016-1-1,402
2016-1-2,402
2016-1-3,402
2016-1-4,402
2016-1-5,402
2016-1-6,402
2016-1-7,402
2016-1-8,402
2016-1-9,402
2016-1-10,402
2016-1-11,402
2016-1-12,402
2016-1-13,402
2016-1-14,402
2016-1-15,402
2016-1-16,402
2016-1-17,402
2016-1-18,402
2016-1-19,402
2016-1-20,402
2016-1-21,402
2016-1-22,402
2016-1-23,406
2016-1-24,406
2016-1-25,415
2016-1-26,415
2016-1-27,415
2016-1-28,415
2016-1-29,415
2016-1-30,415
2016-1-31,415
2016-2-1,400
2016-2-2,400
2016-2-3,400
2016-2-4,380
2016-2-5,380
2016-2-6,370
2016-2-7,370
2016-2-8,370
2016-2-9,370
2016-2-10,370
2016-2-11,370
2016-2-12,370
2016-2-13,372
2016-2-14,372
2016-2-15,372
2016-2-16,372
2016-2-17,372
2016-2-18,372
2016-2-19,372
2016-2-20,372
2016-2-21,372
2016-2-22,372
2016-2-23,372
2016-2-24,372
2016-2-25,352
2016-2-26,352
2016-2-27,334
2016-2-28,334
2016-3-1,320
2016-3-2,320
2016-3-3,320
2016-3-4,320
2016-3-5,320
2016-3-6,320
2016-3-7,333
2016-3-8,333
2016-3-9,333
2016-3-10,333
2016-3-11,333
2016-3-12,333
2016-3-13,333
2016-3-14,333
2016-3-15,333
2016-3-16,333
2016-3-17,315
2016-3-18,315
2016-3-19,315
2016-3-20,315
2016-3-21,325
2016-3-22,325
2016-3-23,325
2016-3-24,335
2016-3-25,335
2016-3-26,345
2016-3-27,345
2016-3-28,345
2016-3-29,345
2016-3-30,345
2016-3-31,350
2016-4-1,350
2016-4-2,350
2016-4-3,350
2016-4-4,350
2016-4-5,350
2016-4-6,350
2016-4-7,350
2016-4-8,350
2016-4-9,350
2016-4-10,350
2016-4-11,350
2016-4-12,350
2016-4-13,350
2016-4-14,350
2016-4-15,350
2016-4-16,350
2016-4-17,350
2016-4-18,350
2016-4-19,350
2016-4-20,350
2016-4-21,350
2016-4-22,350
2016-4-23,330
2016-4-24,330
2016-4-25,310
2016-4-26,310
2016-4-27,310
2016-4-28,310
2016-4-29,310
2016-4-30,315
2016-5-1,315
2016-5-2,325
2016-5-3,325
2016-5-4,325
2016-5-5,345
2016-5-6,345
2016-5-7,370
2016-5-8,370
2016-5-9,380
2016-5-10,390
2016-5-11,400
2016-5-12,410
2016-5-13,420
2016-5-14,430
2016-5-15,430
2016-5-16,435
2016-5-17,435
2016-5-18,435
2016-5-19,420
2016-5-20,420
2016-5-21,405
2016-5-22,405
2016-5-23,410
2016-5-24,410
2016-5-25,410
2016-5-26,410
2016-5-27,410
2016-5-28,390
2016-5-29,390
2016-5-30,390
2016-5-31,390
2016-6-1,390
2016-6-2,390
2016-6-3,390
2016-6-4,390
2016-6-5,390
2016-6-6,390
2016-6-7,390
2016-6-8,390
2016-6-9,393
2016-6-10,393
2016-6-11,396
2016-6-12,396
2016-6-13,401
2016-6-14,401
2016-6-15,401
2016-6-16,410
2016-6-17,410
2016-6-18,415
2016-6-19,415
2016-6-20,424
2016-6-21,424
2016-6-22,424
2016-6-23,429
2016-6-24,429
2016-6-25,432
2016-6-26,432
2016-6-27,435
2016-6-28,435
2016-6-29,435
2016-6-30,435
2016-7-1,435
2016-7-2,435
2016-7-3,435
2016-7-4,435
2016-7-5,435
2016-7-6,435
2016-7-7,435
2016-7-8,435
2016-7-9,435
2016-7-10,435
2016-7-11,435
2016-7-12,435
2016-7-13,435
2016-7-14,435
2016-7-15,435
2016-7-16,435
2016-7-17,435
2016-7-18,435
2016-7-19,435
2016-7-20,435
2016-7-21,435
2016-7-22,435
2016-7-23,435
2016-7-24,435
2016-7-25,435
2016-7-26,435
2016-7-27,435
2016-7-28,435
2016-7-29,435
2016-7-30,435
2016-7-31,435
2016-8-1,400
2016-8-2,400
2016-8-3,400
2016-8-4,400
2016-8-5,400
2016-8-6,400
2016-8-7,400
2016-8-8,400
2016-8-9,400
2016-8-10,400
2016-8-11,420
2016-8-12,420
2016-8-13,430
2016-8-14,430
2016-8-15,450
2016-8-16,450
2016-8-17,450
2016-8-18,450
2016-8-19,450
2016-8-20,440
2016-8-21,440
2016-8-22,440
2016-8-23,440
2016-8-24,440
2016-8-25,440
2016-8-26,440
2016-8-27,430
2016-8-28,430
2016-8-29,415
2016-8-30,415
2016-8-31,415
2016-9-1,340
2016-9-2,340
2016-9-3,340
2016-9-4,340
2016-9-5,345
2016-9-6,345
2016-9-7,345
2016-9-8,345
2016-9-9,345
2016-9-10,351
2016-9-11,351
2016-9-12,361
2016-9-13,361
2016-9-14,361
2016-9-15,375
2016-9-16,375
2016-9-17,385
2016-9-18,385
2016-9-19,385
2016-9-20,385
2016-9-21,385
2016-9-22,370
2016-9-23,370
2016-9-24,360
2016-9-25,360
2016-9-26,350
2016-9-27,350
2016-9-28,350
2016-9-29,350
2016-9-30,350
2016-10-1,350
2016-10-2,350
2016-10-3,355
2016-10-4,355
2016-10-5,355
2016-10-6,360
2016-10-7,360
2016-10-8,360
2016-10-9,360
2016-10-10,360
2016-10-11,360
2016-10-12,360
2016-10-13,360
2016-10-14,360
2016-10-15,360
2016-10-16,360
2016-10-17,365
2016-10-18,365
2016-10-19,365
2016-10-20,381
2016-10-21,381
2016-10-22,390
2016-10-23,390
2016-10-24,393
2016-10-25,393
2016-10-26,393
2016-10-27,402
2016-10-28,402
2016-10-29,402
2016-10-30,402
2016-10-31,402
2016-11-1,402
2016-11-2,402
2016-11-3,402
2016-11-4,402
2016-11-5,402
2016-11-6,402
2016-11-7,402
2016-11-8,402
2016-11-9,402
2016-11-10,402
2016-11-11,402
2016-11-12,402
2016-11-13,402
2016-11-14,382
2016-11-15,382
2016-11-16,382
2016-11-17,362
2016-11-18,362
2016-11-19,367
2016-11-20,367
2016-11-21,387
2016-11-22,387
2016-11-23,387
2016-11-24,390
2016-11-25,390
2016-11-26,390
2016-11-27,390
2016-11-28,390
2016-11-29,390
2016-11-30,390
2016-12-1,390
2016-12-2,390
2016-12-3,390
2016-12-4,390
2016-12-5,390
2016-12-6,390
2016-12-7,390
2016-12-8,390
2016-12-9,390
2016-12-10,393
2016-12-11,393
2016-12-12,399
2016-12-13,399
2016-12-14,399
2016-12-15,399
2016-12-16,399
2016-12-17,399
2016-12-18,399
2016-12-19,379
2016-12-20,379
2016-12-21,379
2016-12-22,379
2016-12-23,379
2016-12-24,379
2016-12-25,379
2016-12-26,379
2016-12-27,379
2016-12-28,379
2016-12-29,384
2016-12-30,384
2016-12-31,384
2017-1-1,384
2017-1-2,384
2017-1-3,384
2017-1-4,384
2017-1-5,364
2017-1-6,364
2017-1-7,364
2017-1-8,364
2017-1-9,364
2017-1-10,364
2017-1-11,364
2017-1-12,364
2017-1-13,364
2017-1-14,364
2017-1-15,364
2017-1-16,349
2017-1-17,349
2017-1-18,329
2017-1-19,329
2017-1-20,329
2017-1-21,329
2017-1-22,329
2017-1-23,344
2017-1-24,344
2017-1-25,344
2017-1-26,344
2017-1-27,344
2017-1-28,344
2017-1-29,344
2017-1-30,344
2017-1-31,344
2017-2-1,344
2017-2-2,344
2017-2-3,344
2017-2-4,325
2017-2-5,325
2017-2-6,320
2017-2-7,320
2017-2-8,320
2017-2-9,320
2017-2-10,320
2017-2-11,325
2017-2-12,325
2017-2-13,330
2017-2-14,330
2017-2-15,330
2017-2-16,340
2017-2-17,340
2017-2-18,345
2017-2-19,345
2017-2-20,355
2017-2-21,355
2017-2-22,355
2017-2-23,365
2017-2-24,365
2017-2-25,370
2017-2-26,370
2017-2-27,375
2017-2-28,375
2017-3-1,375
2017-3-2,375
2017-3-3,375
2017-3-4,365
2017-3-5,365
2017-3-6,350
2017-3-7,350
2017-3-8,350
2017-3-9,335
2017-3-10,335
2017-3-11,325
2017-3-12,325
2017-3-13,325
2017-3-14,325
2017-3-15,325
2017-3-16,330
2017-3-17,330
2017-3-18,335
2017-3-19,335
2017-3-20,335
2017-3-21,335
2017-3-22,335
2017-3-23,345
2017-3-24,345
2017-3-25,345
2017-3-26,345
2017-3-27,345
2017-3-28,345
2017-3-29,345
2017-3-30,345
2017-3-31,345
2017-4-1,330
2017-4-2,330
2017-4-3,315
2017-4-4,315
