ds,y
2016-1-1,425
2016-1-2,425
2016-1-3,425
2016-1-4,425
2016-1-5,425
2016-1-6,417
2016-1-7,417
2016-1-8,417
2016-1-9,417
2016-1-10,417
2016-1-11,417
2016-1-12,417
2016-1-13,417
2016-1-14,417
2016-1-15,417
2016-1-16,410
2016-1-17,405
2016-1-18,405
2016-1-19,397
2016-1-20,397
2016-1-21,397
2016-1-22,399
2016-1-23,415
2016-1-24,420
2016-1-25,430
2016-1-26,430
2016-1-27,445
2016-1-28,447
2016-1-29,440
2016-1-30,430
2016-1-31,418
2016-2-1,418
2016-2-2,410
2016-2-3,385
2016-2-4,385
2016-2-5,385
2016-2-6,385
2016-2-7,375
2016-2-8,375
2016-2-9,375
2016-2-10,375
2016-2-11,377
2016-2-12,377
2016-2-13,377
2016-2-14,370
2016-2-15,363
2016-2-16,355
2016-2-17,350
2016-2-18,350
2016-2-19,340
2016-2-20,340
2016-2-21,335
2016-2-22,330
2016-2-23,330
2016-2-24,330
2016-2-25,325
2016-2-26,325
2016-2-27,320
2016-2-28,320
2016-3-1,310
2016-3-2,310
2016-3-3,300
2016-3-4,300
2016-3-5,290
2016-3-6,295
2016-3-7,300
2016-3-8,303
2016-3-9,305
2016-3-10,305
2016-3-11,305
2016-3-12,300
2016-3-13,300
2016-3-14,290
2016-3-15,290
2016-3-16,290
2016-3-17,290
2016-3-18,290
2016-3-19,300
2016-3-20,310
2016-3-21,320
2016-3-22,325
2016-3-23,330
2016-3-24,335
2016-3-25,335
2016-3-26,340
2016-3-27,340
2016-3-28,340
2016-3-29,340
2016-3-30,340
2016-3-31,330
2016-4-1,330
2016-4-2,330
2016-4-3,330
2016-4-4,330
2016-4-5,330
2016-4-6,315
2016-4-7,315
2016-4-8,300
2016-4-9,300
2016-4-10,300
2016-4-11,300
2016-4-12,300
2016-4-13,300
2016-4-14,300
2016-4-15,300
2016-4-16,300
2016-4-17,303
2016-4-18,303
2016-4-19,303
2016-4-20,303
2016-4-21,303
2016-4-22,290
2016-4-23,290
2016-4-24,290
2016-4-25,290
2016-4-26,290
2016-4-27,290
2016-4-28,290
2016-4-29,300
2016-4-30,305
2016-5-1,316
2016-5-2,330
2016-5-3,340
2016-5-4,340
2016-5-5,360
2016-5-6,370
2016-5-7,380
2016-5-8,385
2016-5-9,395
2016-5-10,405
2016-5-11,415
2016-5-12,415
2016-5-13,421
2016-5-14,421
2016-5-15,410
2016-5-16,405
2016-5-17,395
2016-5-18,395
2016-5-19,395
2016-5-20,395
2016-5-21,395
2016-5-22,395
2016-5-23,395
2016-5-24,395
2016-5-25,395
2016-5-26,380
2016-5-27,380
2016-5-28,380
2016-5-29,365
2016-5-30,365
2016-5-31,371
2016-6-1,371
2016-6-2,371
2016-6-3,371
2016-6-4,371
2016-6-5,371
2016-6-6,371
2016-6-7,371
2016-6-8,371
2016-6-9,375
2016-6-10,375
2016-6-11,375
2016-6-12,380
2016-6-13,390
2016-6-14,395
2016-6-15,398
2016-6-16,398
2016-6-17,402
2016-6-18,402
2016-6-19,405
2016-6-20,407
2016-6-21,409
2016-6-22,412
2016-6-23,418
2016-6-24,424
2016-6-25,427
2016-6-26,427
2016-6-27,427
2016-6-28,427
2016-6-29,418
2016-6-30,418
2016-7-1,420
2016-7-2,422
2016-7-3,425
2016-7-4,427
2016-7-5,430
2016-7-6,430
2016-7-7,430
2016-7-8,430
2016-7-9,430
2016-7-10,434
2016-7-11,436
2016-7-12,436
2016-7-13,436
2016-7-14,438
2016-7-15,438
2016-7-16,438
2016-7-17,438
2016-7-18,438
2016-7-19,438
2016-7-20,438
2016-7-21,438
2016-7-22,430
2016-7-23,430
2016-7-24,430
2016-7-25,430
2016-7-26,430
2016-7-27,422
2016-7-28,415
2016-7-29,405
2016-7-30,405
2016-7-31,405
2016-8-1,355
2016-8-2,355
2016-8-3,355
2016-8-4,355
2016-8-5,355
2016-8-6,345
2016-8-7,350
2016-8-8,360
2016-8-9,373
2016-8-10,375
2016-8-11,382
2016-8-12,397
2016-8-13,410
2016-8-14,415
2016-8-15,421
2016-8-16,423
2016-8-17,423
2016-8-18,408
2016-8-19,408
2016-8-20,408
2016-8-21,408
2016-8-22,423
2016-8-23,435
2016-8-24,438
2016-8-25,438
2016-8-26,428
2016-8-27,420
2016-8-28,420
2016-8-29,420
2016-8-30,405
2016-8-31,420
2016-9-1,330
2016-9-2,333
2016-9-3,333
2016-9-4,333
2016-9-5,333
2016-9-6,333
2016-9-7,328
2016-9-8,320
2016-9-9,320
2016-9-10,320
2016-9-11,333
2016-9-12,333
2016-9-13,341
2016-9-14,365
2016-9-15,370
2016-9-16,375
2016-9-17,375
2016-9-18,375
