ds,y
2016-1-1,408
2016-1-2,408
2016-1-3,408
2016-1-4,408
2016-1-5,408
2016-1-6,408
2016-1-7,398
2016-1-8,398
2016-1-9,398
2016-1-10,398
2016-1-11,398
2016-1-12,398
2016-1-13,398
2016-1-14,398
2016-1-15,388
2016-1-16,388
2016-1-17,388
2016-1-18,388
2016-1-19,388
2016-1-20,388
2016-1-21,378
2016-1-22,378
2016-1-23,388
2016-1-24,398
2016-1-25,403
2016-1-26,408
2016-1-27,413
2016-1-28,413
2016-1-29,413
2016-1-30,398
2016-1-31,388
2016-2-1,388
2016-2-2,378
2016-2-3,378
2016-2-4,378
2016-2-5,378
2016-2-6,378
2016-2-7,368
2016-2-8,368
2016-2-9,368
2016-2-10,368
2016-2-11,368
2016-2-12,368
2016-2-13,368
2016-2-14,368
2016-2-15,368
2016-2-16,358
2016-2-17,348
2016-2-18,338
2016-2-19,338
2016-2-20,338
2016-2-21,338
2016-2-22,338
2016-2-23,338
2016-2-24,338
2016-2-25,328
2016-2-26,323
2016-2-27,313
2016-2-28,308
2016-3-1,303
2016-3-2,293
2016-3-3,293
2016-3-4,293
2016-3-5,293
2016-3-6,293
2016-3-7,293
2016-3-8,293
2016-3-9,293
2016-3-10,298
2016-3-11,298
2016-3-12,298
2016-3-13,288
2016-3-14,288
2016-3-15,288
2016-3-16,288
2016-3-17,288
2016-3-18,288
2016-3-19,293
2016-3-20,298
2016-3-21,303
2016-3-22,313
2016-3-23,318
2016-3-24,318
2016-3-25,323
2016-3-26,323
2016-3-27,328
2016-3-28,328
2016-3-29,328
2016-3-30,328
2016-3-31,323
2016-4-1,323
2016-4-2,323
2016-4-3,323
2016-4-4,323
2016-4-5,318
2016-4-6,318
2016-4-7,318
2016-4-8,308
2016-4-9,308
2016-4-10,303
2016-4-11,303
2016-4-12,293
2016-4-13,293
2016-4-14,288
2016-4-15,288
2016-4-16,291
2016-4-17,293
2016-4-18,293
2016-4-19,293
2016-4-20,293
2016-4-21,293
2016-4-22,283
2016-4-23,283
2016-4-24,283
2016-4-25,283
2016-4-26,283
2016-4-27,285
2016-4-28,287
2016-4-29,289
2016-4-30,294
2016-5-1,299
2016-5-2,307
2016-5-3,317
2016-5-4,327
2016-5-5,337
2016-5-6,348
2016-5-7,363
2016-5-8,373
2016-5-9,383
2016-5-10,393
2016-5-11,403
2016-5-12,413
2016-5-13,423
2016-5-14,433
2016-5-15,443
2016-5-16,443
2016-5-17,443
2016-5-18,443
2016-5-19,423
2016-5-20,413
2016-5-21,403
2016-5-22,403
2016-5-23,403
2016-5-24,403
2016-5-25,403
2016-5-26,403
2016-5-27,383
2016-5-28,363
2016-5-29,343
2016-5-30,343
2016-5-31,345
2016-6-1,350
2016-6-2,353
2016-6-3,356
2016-6-4,358
2016-6-5,361
2016-6-6,361
2016-6-7,367
2016-6-8,370
2016-6-9,361
2016-6-10,364
2016-6-11,367
2016-6-12,371
2016-6-13,375
2016-6-14,379
2016-6-15,385
2016-6-16,387
2016-6-17,390
2016-6-18,393
2016-6-19,396
2016-6-20,399
2016-6-21,402
2016-6-22,406
2016-6-23,410
2016-6-24,413
2016-6-25,415
2016-6-26,417
2016-6-27,418
2016-6-28,418
2016-6-29,418
2016-6-30,416
2016-7-1,416
2016-7-2,416
2016-7-3,414
2016-7-4,414
2016-7-5,414
