ds,y
2016-1-1,444
2016-1-2,444
2016-1-3,444
2016-1-4,444
2016-1-5,444
2016-1-6,444
2016-1-7,430
2016-1-8,430
2016-1-9,430
2016-1-10,430
2016-1-11,430
2016-1-12,430
2016-1-13,430
2016-1-14,430
2016-1-15,430
2016-1-16,430
2016-1-17,430
2016-1-18,430
2016-1-19,415
2016-1-20,415
2016-1-21,415
2016-1-22,415
2016-1-23,427
2016-1-24,439
2016-1-25,439
2016-1-26,445
2016-1-27,445
2016-1-28,450
2016-1-29,450
2016-1-30,425
2016-1-31,415
2016-2-1,415
2016-2-2,405
2016-2-3,405
2016-2-4,405
2016-2-5,405
2016-2-6,405
2016-2-7,395
2016-2-8,395
2016-2-9,395
2016-2-10,395
2016-2-11,395
2016-2-12,395
2016-2-13,395
2016-2-14,395
2016-2-15,395
2016-2-16,395
2016-2-17,370
2016-2-18,360
2016-2-19,360
2016-2-20,360
2016-2-21,360
2016-2-22,360
2016-2-23,360
2016-2-24,360
2016-2-25,340
2016-2-26,340
2016-2-27,340
2016-2-28,330
2016-3-1,325
2016-3-2,320
2016-3-3,320
2016-3-4,320
2016-3-5,320
2016-3-6,320
2016-3-7,320
2016-3-8,325
2016-3-9,325
2016-3-10,327
2016-3-11,327
2016-3-12,327
2016-3-13,320
2016-3-14,320
2016-3-15,320
2016-3-16,320
2016-3-17,320
2016-3-18,320
2016-3-19,325
2016-3-20,330
2016-3-21,330
2016-3-22,335
2016-3-23,340
2016-3-24,340
2016-3-25,345
2016-3-26,345
2016-3-27,350
2016-3-28,350
2016-3-29,350
2016-3-30,350
2016-3-31,335
2016-4-1,335
2016-4-2,335
2016-4-3,335
2016-4-4,335
2016-4-5,335
2016-4-6,335
2016-4-7,335
2016-4-8,335
2016-4-9,335
2016-4-10,335
2016-4-11,335
2016-4-12,335
2016-4-13,335
2016-4-14,335
2016-4-15,335
2016-4-16,338
2016-4-17,338
2016-4-18,338
2016-4-19,338
2016-4-20,338
2016-4-21,338
2016-4-22,320
2016-4-23,320
2016-4-24,320
2016-4-25,320
2016-4-26,320
2016-4-27,322
2016-4-28,324
2016-4-29,324
2016-4-30,331
2016-5-1,336
2016-5-2,336
2016-5-3,346
2016-5-4,358
2016-5-5,370
2016-5-6,380
2016-5-7,385
2016-5-8,393
2016-5-9,393
2016-5-10,413
2016-5-11,420
2016-5-12,425
2016-5-13,432
2016-5-14,440
2016-5-15,450
2016-5-16,450
2016-5-17,450
2016-5-18,450
2016-5-19,425
2016-5-20,405
2016-5-21,405
2016-5-22,405
2016-5-23,405
2016-5-24,405
2016-5-25,405
2016-5-26,405
2016-5-27,390
2016-5-28,375
2016-5-29,365
2016-5-30,365
2016-5-31,370
2016-6-1,375
2016-6-2,378
2016-6-3,378
2016-6-4,380
2016-6-5,384
2016-6-6,384
2016-6-7,387
2016-6-8,390
2016-6-9,393
2016-6-10,396
2016-6-11,400
2016-6-12,405
2016-6-13,405
2016-6-14,415
2016-6-15,419
2016-6-16,423
2016-6-17,425
2016-6-18,427
2016-6-19,430
2016-6-20,430
2016-6-21,436
2016-6-22,440
2016-6-23,445
2016-6-24,448
2016-6-25,450
2016-6-26,452
