ds,y
2016-1-1,405
2016-1-2,401
2016-1-3,401
2016-1-4,401
2016-1-5,401
2016-1-6,391
2016-1-7,391
2016-1-8,391
2016-1-9,391
2016-1-10,391
2016-1-11,391
2016-1-12,386
2016-1-13,386
2016-1-14,386
2016-1-15,386
2016-1-16,378
2016-1-17,378
2016-1-18,378
2016-1-19,375
2016-1-20,378
2016-1-21,380
2016-1-22,393
2016-1-23,410
2016-1-24,410
2016-1-25,421
2016-1-26,421
2016-1-27,413
2016-1-28,403
2016-1-29,395
2016-1-30,395
2016-1-31,390
2016-2-1,380
2016-2-2,370
2016-2-3,370
2016-2-4,367
2016-2-5,350
2016-2-6,350
2016-2-7,350
2016-2-8,350
2016-2-9,352
2016-2-10,354
2016-2-11,354
2016-2-12,354
2016-2-13,348
2016-2-14,342
2016-2-15,332
2016-2-16,332
2016-2-17,332
2016-2-18,327
2016-2-19,322
2016-2-20,317
2016-2-21,317
2016-2-22,317
2016-2-23,310
2016-2-24,307
2016-2-25,307
2016-2-26,305
2016-2-27,300
2016-2-28,300
2016-3-1,284
2016-3-2,270
2016-3-3,270
2016-3-4,270
2016-3-5,280
2016-3-6,280
2016-3-7,290
2016-3-8,290
2016-3-9,280
2016-3-10,278
2016-3-11,270
2016-3-12,270
2016-3-13,275
2016-3-14,275
2016-3-15,275
2016-3-16,275
2016-3-17,277
2016-3-18,283
2016-3-19,290
2016-3-20,290
2016-3-21,290
2016-3-22,296
2016-3-23,304
2016-3-24,308
2016-3-25,311
2016-3-26,311
2016-3-27,311
2016-3-28,302
2016-3-29,297
2016-3-30,297
2016-3-31,287
2016-4-1,287
2016-4-2,291
2016-4-3,291
2016-4-4,286
2016-4-5,286
2016-4-6,275
2016-4-7,267
2016-4-8,267
2016-4-9,269
2016-4-10,269
2016-4-11,270
2016-4-12,270
2016-4-13,270
2016-4-14,270
2016-4-15,270
2016-4-16,270
2016-4-17,270
2016-4-18,271
2016-4-19,271
2016-4-20,264
2016-4-21,262
2016-4-22,262
2016-4-23,262
2016-4-24,262
2016-4-25,262
2016-4-26,262
2016-4-27,262
2016-4-28,267
2016-4-29,270
2016-4-30,280
2016-5-1,290
2016-5-2,303
2016-5-3,305
2016-5-4,325
2016-5-5,335
2016-5-6,336
2016-5-7,337
2016-5-8,347
2016-5-9,361
2016-5-10,366
2016-5-11,366
2016-5-12,366
2016-5-13,370
2016-5-14,375
2016-5-15,375
2016-5-16,375
2016-5-17,365
2016-5-18,345
2016-5-19,340
2016-5-20,342
2016-5-21,342
2016-5-22,344
2016-5-23,349
2016-5-24,349
2016-5-25,345
2016-5-26,335
2016-5-27,330
2016-5-28,325
2016-5-29,330
2016-5-30,339
2016-5-31,347
2016-6-1,340
2016-6-2,335
2016-6-3,342
2016-6-4,351
2016-6-5,351
2016-6-6,345
2016-6-7,348
2016-6-8,348
2016-6-9,350
2016-6-10,353
2016-6-11,356
2016-6-12,365
2016-6-13,375
2016-6-14,375
2016-6-15,375
2016-6-16,375
2016-6-17,375
2016-6-18,377
2016-6-19,380
2016-6-20,386
2016-6-21,400
2016-6-22,400
2016-6-23,405
2016-6-24,405
2016-6-25,405
2016-6-26,405
2016-6-27,405
2016-6-28,390
2016-6-29,395
2016-6-30,395
2016-7-1,395
2016-7-2,397
2016-7-3,397
2016-7-4,397
2016-7-5,397
2016-7-6,400
2016-7-7,402
2016-7-8,410
2016-7-9,419
2016-7-10,419
2016-7-11,419
2016-7-12,421
2016-7-13,425
2016-7-14,431
2016-7-15,431
2016-7-16,431
2016-7-17,421
2016-7-18,421
2016-7-19,419
2016-7-20,417
2016-7-21,405
2016-7-22,390
2016-7-23,390
2016-7-24,393
2016-7-25,393
2016-7-26,393
2016-7-27,370
2016-7-28,370
2016-7-29,370
2016-7-30,370
2016-7-31,373
2016-8-1,371
2016-8-2,371
2016-8-3,371
2016-8-4,371
