ds,y
2016-1-1,422
2016-1-2,422
2016-1-3,422
2016-1-4,422
2016-1-5,422
2016-1-6,410
2016-1-7,410
2016-1-8,410
2016-1-9,410
2016-1-10,405
2016-1-11,405
2016-1-12,405
2016-1-13,405
2016-1-14,405
2016-1-15,405
2016-1-16,405
2016-1-17,405
2016-1-18,405
2016-1-19,405
2016-1-20,395
2016-1-21,395
2016-1-22,397
2016-1-23,405
2016-1-24,412
2016-1-25,412
2016-1-26,420
2016-1-27,423
2016-1-28,423
2016-1-29,423
2016-1-30,423
2016-1-31,420
2016-2-1,410
2016-2-2,390
2016-2-3,380
2016-2-4,380
2016-2-5,380
2016-2-6,380
2016-2-7,370
2016-2-8,370
2016-2-9,372
2016-2-10,372
2016-2-11,375
2016-2-12,375
2016-2-13,375
2016-2-14,375
2016-2-15,375
2016-2-16,370
2016-2-17,370
2016-2-18,360
2016-2-19,360
2016-2-20,360
2016-2-21,360
2016-2-22,360
2016-2-23,360
2016-2-24,360
2016-2-25,350
2016-2-26,350
2016-2-27,335
2016-2-28,335
2016-3-1,320
2016-3-2,320
2016-3-3,320
2016-3-4,320
2016-3-5,320
2016-3-6,320
2016-3-7,320
2016-3-8,325
2016-3-9,325
2016-3-10,325
2016-3-11,325
2016-3-12,325
2016-3-13,315
2016-3-14,315
2016-3-15,315
2016-3-16,315
2016-3-17,315
2016-3-18,315
2016-3-19,315
2016-3-20,320
2016-3-21,320
2016-3-22,330
2016-3-23,335
2016-3-24,335
2016-3-25,340
2016-3-26,340
2016-3-27,350
2016-3-28,350
2016-3-29,350
2016-3-30,350
2016-3-31,350
2016-4-1,355
2016-4-2,355
2016-4-3,355
2016-4-4,355
2016-4-5,345
2016-4-6,345
2016-4-7,335
2016-4-8,335
2016-4-9,335
2016-4-10,335
2016-4-11,335
2016-4-12,325
2016-4-13,325
2016-4-14,325
2016-4-15,325
2016-4-16,325
2016-4-17,325
2016-4-18,325
2016-4-19,325
2016-4-20,325
2016-4-21,325
2016-4-22,325
2016-4-23,310
2016-4-24,310
2016-4-25,310
2016-4-26,310
2016-4-27,310
2016-4-28,310
2016-4-29,315
2016-4-30,320
2016-5-1,330
2016-5-2,330
2016-5-3,350
2016-5-4,350
2016-5-5,358
2016-5-6,375
2016-5-7,385
2016-5-8,400
2016-5-9,410
2016-5-10,415
2016-5-11,420
2016-5-12,430
2016-5-13,437
2016-5-14,445
2016-5-15,455
2016-5-16,455
2016-5-17,455
2016-5-18,455
2016-5-19,455
2016-5-20,435
2016-5-21,435
2016-5-22,420
2016-5-23,420
2016-5-24,425
2016-5-25,425
2016-5-26,425
2016-5-27,425
2016-5-28,405
2016-5-29,395
2016-5-30,395
2016-5-31,395
2016-6-1,395
2016-6-2,395
2016-6-3,395
2016-6-4,395
2016-6-5,395
2016-6-6,395
2016-6-7,397
2016-6-8,397
