ds,y
2016-1-1,430
2016-1-2,430
2016-1-3,430
2016-1-4,430
2016-1-5,430
2016-1-6,430
2016-1-7,425
2016-1-8,425
2016-1-9,425
2016-1-10,425
2016-1-11,425
2016-1-12,425
2016-1-13,425
2016-1-14,420
2016-1-15,420
2016-1-16,420
2016-1-17,410
2016-1-18,410
2016-1-19,410
2016-1-20,410
2016-1-21,410
2016-1-22,410
2016-1-23,415
2016-1-24,423
2016-1-25,425
2016-1-26,425
2016-1-27,430
2016-1-28,435
2016-1-29,435
2016-1-30,425
2016-1-31,405
2016-2-1,405
2016-2-2,395
2016-2-3,385
2016-2-4,385
2016-2-5,385
2016-2-6,375
2016-2-7,375
2016-2-8,375
2016-2-9,375
2016-2-10,375
2016-2-11,375
2016-2-12,375
2016-2-13,375
2016-2-14,365
2016-2-15,365
2016-2-16,360
2016-2-17,355
2016-2-18,355
2016-2-19,350
2016-2-20,345
2016-2-21,343
2016-2-22,340
2016-2-23,343
2016-2-24,343
2016-2-25,338
2016-2-26,331
2016-2-27,328
2016-2-28,325
2016-3-1,315
2016-3-2,310
2016-3-3,305
2016-3-4,305
2016-3-5,305
2016-3-6,305
2016-3-7,305
2016-3-8,305
2016-3-9,310
2016-3-10,310
2016-3-11,310
2016-3-12,305
2016-3-13,305
2016-3-14,305
2016-3-15,305
2016-3-16,305
2016-3-17,305
2016-3-18,305
2016-3-19,305
2016-3-20,305
2016-3-21,310
2016-3-22,320
2016-3-23,330
2016-3-24,335
2016-3-25,335
2016-3-26,335
2016-3-27,335
2016-3-28,335
2016-3-29,335
2016-3-30,335
2016-3-31,330
2016-4-1,328
2016-4-2,325
2016-4-3,325
2016-4-4,328
2016-4-5,330
2016-4-6,320
2016-4-7,310
2016-4-8,305
2016-4-9,305
2016-4-10,305
2016-4-11,305
2016-4-12,305
2016-4-13,305
2016-4-14,300
2016-4-15,300
2016-4-16,300
2016-4-17,302
2016-4-18,303
2016-4-19,303
2016-4-20,303
2016-4-21,303
2016-4-22,298
2016-4-23,295
2016-4-24,290
2016-4-25,285
2016-4-26,285
2016-4-27,285
2016-4-28,285
2016-4-29,290
2016-4-30,298
2016-5-1,310
2016-5-2,310
2016-5-3,330
2016-5-4,340
2016-5-5,350
2016-5-6,360
2016-5-7,370
2016-5-8,380
2016-5-9,390
2016-5-10,400
2016-5-11,410
2016-5-12,411
2016-5-13,422
2016-5-14,422
2016-5-15,422
2016-5-16,415
2016-5-17,415
2016-5-18,395
2016-5-19,395
2016-5-20,380
2016-5-21,370
2016-5-22,370
2016-5-23,370
2016-5-24,370
2016-5-25,370
2016-5-26,370
2016-5-27,380
2016-5-28,370
2016-5-29,370
2016-5-30,360
2016-5-31,365
2016-6-1,365
2016-6-2,365
2016-6-3,365
2016-6-4,370
2016-6-5,370
2016-6-6,375
2016-6-7,380
2016-6-8,380
2016-6-9,385
2016-6-10,385
2016-6-11,385
2016-6-12,390
2016-6-13,395
2016-6-14,400
2016-6-15,400
2016-6-16,410
2016-6-17,412
2016-6-18,415
2016-6-19,415
2016-6-20,420
2016-6-21,425
2016-6-22,425
2016-6-23,433
2016-6-24,435
2016-6-25,435
2016-6-26,425
2016-6-27,425
2016-6-28,435
2016-6-29,430
2016-6-30,430
2016-7-1,430
2016-7-2,430
2016-7-3,435
2016-7-4,435
2016-7-5,435
2016-7-6,435
2016-7-7,435
2016-7-8,435
2016-7-9,440
2016-7-10,445
2016-7-11,445
2016-7-12,445
2016-7-13,445
2016-7-14,445
2016-7-15,445
2016-7-16,445
2016-7-17,445
2016-7-18,445
2016-7-19,445
2016-7-20,445
2016-7-21,440
2016-7-22,440
2016-7-23,440
2016-7-24,440
2016-7-25,440
2016-7-26,435
2016-7-27,430
2016-7-28,425
2016-7-29,420
2016-7-30,410
2016-7-31,410
2016-8-1,375
2016-8-2,375
2016-8-3,375
2016-8-4,375
2016-8-5,375
2016-8-6,360
2016-8-7,360
2016-8-8,365
2016-8-9,365
2016-8-10,375
2016-8-11,385
2016-8-12,405
2016-8-13,415
2016-8-14,415
2016-8-15,415
2016-8-16,415
2016-8-17,430
2016-8-18,415
2016-8-19,415
2016-8-20,415
2016-8-21,415
2016-8-22,415
2016-8-23,425
2016-8-24,435
2016-8-25,435
2016-8-26,435
2016-8-27,420
2016-8-28,420
2016-8-29,420
2016-8-30,415
2016-8-31,415
2016-9-1,335
2016-9-2,335
2016-9-3,338
2016-9-4,335
2016-9-5,335
2016-9-6,335
2016-9-7,335
2016-9-8,333
2016-9-9,333
2016-9-10,340
2016-9-11,345
2016-9-12,345
2016-9-13,350
2016-9-14,370
2016-9-15,380
2016-9-16,380
2016-9-17,380
2016-9-18,380
2016-9-19,375
2016-9-20,370
2016-9-21,355
2016-9-22,365
2016-9-23,360
2016-9-24,365
2016-9-25,360
2016-9-26,360
2016-9-27,360
2016-9-28,360
2016-9-29,360
2016-9-30,355
2016-10-1,355
2016-10-2,350
2016-10-3,350
2016-10-4,350
2016-10-5,353
2016-10-6,353
2016-10-7,353
2016-10-8,353
2016-10-9,353
2016-10-10,353
2016-10-11,353
2016-10-12,353
2016-10-13,355
2016-10-14,355
2016-10-15,355
2016-10-16,360
2016-10-17,370
2016-10-18,375
2016-10-19,380
2016-10-20,390
2016-10-21,400
2016-10-22,400
2016-10-23,405
2016-10-24,405
2016-10-25,405
2016-10-26,410
2016-10-27,420
2016-10-28,420
2016-10-29,420
2016-10-30,420
2016-10-31,420
2016-11-1,420
2016-11-2,420
2016-11-3,420
2016-11-4,415
2016-11-5,410
2016-11-6,415
2016-11-7,415
2016-11-8,415
2016-11-9,415
2016-11-10,415
2016-11-11,410
2016-11-12,410
2016-11-13,410
2016-11-14,400
2016-11-15,400
2016-11-16,360
2016-11-17,360
2016-11-18,350
2016-11-19,385
2016-11-20,390
2016-11-21,395
2016-11-22,395
2016-11-23,395
2016-11-24,395
2016-11-25,395
2016-11-26,395
2016-11-27,395
2016-11-28,390
2016-11-29,390
2016-11-30,385
2016-12-1,385
2016-12-2,385
2016-12-3,385
2016-12-4,395
2016-12-5,400
2016-12-6,400
2016-12-7,400
2016-12-8,400
2016-12-9,405
2016-12-10,405
2016-12-11,410
2016-12-12,410
2016-12-13,410
2016-12-14,410
2016-12-15,410
2016-12-16,410
2016-12-17,410
2016-12-18,405
2016-12-19,405
2016-12-20,400
2016-12-21,390
2016-12-22,380
2016-12-23,377
2016-12-24,377
2016-12-25,382
2016-12-26,387
2016-12-27,390
2016-12-28,390
2016-12-29,390
2016-12-30,385
2016-12-31,380
2017-1-1,375
2017-1-2,375
2017-1-3,370
2017-1-4,355
2017-1-5,350
2017-1-6,345
2017-1-7,345
2017-1-8,340
2017-1-9,345
2017-1-10,345
2017-1-11,345
2017-1-12,345
2017-1-13,350
2017-1-14,350
2017-1-15,350
2017-1-16,350
2017-1-17,350
2017-1-18,330
2017-1-19,325
2017-1-20,325
2017-1-21,325
2017-1-22,330
2017-1-23,350
2017-1-24,350
2017-1-25,350
2017-1-26,350
2017-1-27,350
2017-1-28,340
2017-1-29,330
2017-1-30,330
2017-1-31,325
2017-2-1,325
2017-2-2,325
2017-2-3,325
2017-2-4,325
2017-2-5,315
2017-2-6,315
2017-2-7,315
2017-2-8,310
2017-2-9,310
2017-2-10,310
2017-2-11,310
2017-2-12,310
2017-2-13,310
2017-2-14,315
2017-2-15,315
2017-2-16,330
2017-2-17,330
2017-2-18,330
2017-2-19,335
2017-2-20,340
2017-2-21,345
2017-2-22,355
2017-2-23,355
2017-2-24,355
2017-2-25,355
2017-2-26,360
2017-2-27,365
2017-2-28,370
2017-3-1,370
2017-3-2,370
2017-3-3,370
2017-3-4,360
2017-3-5,345
2017-3-6,345
2017-3-7,345
2017-3-8,345
2017-3-9,335
2017-3-10,335
2017-3-11,325
2017-3-12,325
2017-3-13,328
2017-3-14,328
2017-3-15,328
2017-3-16,325
2017-3-17,325
2017-3-18,325
2017-3-19,325
2017-3-20,325
2017-3-21,328
2017-3-22,330
2017-3-23,331
2017-3-24,331
2017-3-25,331
2017-3-26,330
2017-3-27,330
2017-3-28,320
2017-3-29,315
2017-3-30,315
2017-3-31,315
2017-4-1,312
2017-4-2,300
2017-4-3,300
2017-4-4,290
2017-4-5,285
2017-4-6,285
2017-4-7,285
2017-4-8,285
2017-4-9,280
2017-4-10,275
2017-4-11,270
2017-4-12,270
2017-4-13,267
2017-4-14,260
2017-4-15,260
2017-4-16,265
2017-4-17,275
2017-4-18,278
2017-4-19,280
2017-4-20,280
2017-4-21,275
2017-4-22,272
2017-4-23,272
2017-4-24,272
2017-4-25,273
2017-4-26,275
2017-4-27,281
2017-4-28,285
2017-4-29,289
2017-4-30,294
2017-5-1,294
2017-5-2,305
2017-5-3,315
2017-5-4,320
2017-5-5,325
2017-5-6,325
2017-5-7,347
2017-5-8,357
2017-5-9,365
2017-5-10,375
2017-5-11,378
2017-5-12,378
2017-5-13,378
2017-5-14,365
2017-5-15,355
2017-5-16,340
2017-5-17,340
2017-5-18,325
2017-5-19,320
2017-5-20,305
2017-5-21,305
2017-5-22,315
2017-5-23,315
2017-5-24,315
2017-5-25,320
2017-5-26,320
2017-5-27,315
2017-5-28,315
2017-5-29,315
2017-5-30,320
2017-5-31,325
2017-6-1,330
2017-6-2,330
2017-6-3,345
2017-6-4,350
2017-6-5,350
2017-6-6,355
2017-6-7,360
2017-6-8,365
2017-6-9,372
2017-6-10,378
2017-6-11,382
2017-6-12,388
2017-6-13,389
2017-6-14,395
2017-6-15,395
2017-6-16,395
2017-6-17,395
2017-6-18,395
2017-6-19,395
2017-6-20,390
2017-6-21,390
2017-6-22,385
2017-6-23,390
2017-6-24,375
2017-6-25,350
2017-6-26,350
2017-6-27,350
2017-6-28,357
2017-6-29,362
2017-6-30,367
2017-7-1,375
2017-7-2,375
2017-7-3,375
2017-7-4,375
2017-7-5,378
2017-7-6,385
2017-7-7,375
2017-7-8,365
2017-7-9,365
2017-7-10,360
2017-7-11,350
2017-7-12,350
2017-7-13,340
2017-7-14,340
2017-7-15,330
2017-7-16,330
2017-7-17,325
2017-7-18,320
2017-7-19,320
2017-7-20,325
2017-7-21,325
2017-7-22,325
2017-7-23,318
2017-7-24,318
2017-7-25,318
2017-7-26,305
2017-7-27,305
2017-7-28,305
2017-7-29,300
2017-7-30,303
2017-7-31,316
2017-8-1,321
2017-8-2,321
2017-8-3,311
2017-8-4,315
2017-8-5,320
2017-8-6,325
2017-8-7,335
2017-8-8,338
2017-8-9,345
2017-8-10,345
2017-8-11,345
2017-8-12,352
2017-8-13,362
2017-8-14,365
2017-8-15,365
2017-8-16,365
2017-8-17,365
2017-8-18,365
2017-8-19,355
2017-8-20,350
2017-8-21,350
2017-8-22,350
2017-8-23,350
2017-8-24,345
2017-8-25,345
2017-8-26,340
2017-8-27,335
2017-8-28,335
2017-8-29,340
2017-8-30,345
2017-8-31,350
2017-9-1,350
2017-9-2,355
2017-9-3,365
2017-9-4,372
2017-9-5,380
2017-9-6,380
2017-9-7,385
2017-9-8,365
2017-9-9,365
2017-9-10,365
2017-9-11,365
2017-9-12,360
2017-9-13,350
2017-9-14,350
2017-9-15,352
2017-9-16,352
2017-9-17,352
2017-9-18,352
2017-9-19,353
2017-9-20,355
2017-9-21,353
2017-9-22,353
2017-9-23,353
2017-9-24,356
2017-9-25,357
2017-9-26,357
2017-9-27,357
2017-9-28,362
2017-9-29,365
2017-9-30,368
2017-10-1,372
2017-10-2,372
2017-10-3,375
2017-10-4,380
2017-10-5,382
2017-10-6,385
2017-10-7,383
2017-10-8,383
2017-10-9,375
2017-10-10,375
2017-10-11,370
2017-10-12,365
2017-10-13,365
2017-10-14,365
2017-10-15,375
2017-10-16,378
2017-10-17,386
2017-10-18,400
2017-10-19,400
2017-10-20,400
2017-10-21,402
2017-10-22,410
2017-10-23,416
2017-10-24,416
2017-10-25,415
2017-10-26,418
2017-10-27,418
2017-10-28,418
2017-10-29,430
2017-10-30,435
2017-10-31,438
2017-11-1,460
2017-11-2,470
2017-11-3,470
2017-11-4,475
2017-11-5,476
2017-11-6,486
2017-11-7,490
2017-11-8,490
2017-11-9,495
2017-11-10,495
2017-11-11,505
2017-11-12,510
2017-11-13,525
2017-11-14,538
2017-11-15,545
2017-11-16,553
2017-11-17,553
2017-11-18,555
2017-11-19,555
2017-11-20,540
2017-11-21,540
2017-11-22,505
2017-11-23,490
2017-11-24,480
2017-11-25,465
2017-11-26,465
2017-11-27,465
2017-11-28,450
2017-11-29,450
2017-11-30,430
2017-12-1,418
2017-12-2,408
2017-12-3,398
2017-12-4,398
2017-12-5,398
2017-12-6,412
2017-12-7,422
2017-12-8,428
2017-12-9,430
2017-12-10,434
2017-12-11,434
2017-12-12,434
2017-12-13,421
2017-12-14,414
2017-12-15,400
2017-12-16,395
2017-12-17,390
2017-12-18,390
2017-12-19,390
2017-12-20,390
2017-12-21,370
2017-12-22,370
2017-12-23,369
2017-12-24,368
2017-12-25,363
2017-12-26,358
2017-12-27,344
2017-12-28,344
2017-12-29,350
2017-12-30,365
2017-12-31,375
2018-1-1,395
2018-1-2,404
2018-1-3,417
2018-1-4,433
2018-1-5,433
2018-1-6,433
2018-1-7,433
2018-1-8,433
2018-1-9,428
2018-1-10,424
2018-1-11,424
2018-1-12,420
2018-1-13,415
2018-1-14,415
2018-1-15,400
2018-1-16,420
2018-1-17,420
2018-1-18,420
2018-1-19,420
2018-1-20,420
2018-1-21,415
2018-1-22,420
2018-1-23,415
2018-1-24,410
2018-1-25,405
2018-1-26,400
2018-1-27,400
2018-1-28,390
2018-1-29,390
2018-1-30,387
2018-1-31,385
2018-2-1,385
2018-2-2,385
2018-2-3,382
2018-2-4,370
2018-2-5,373
2018-2-6,363
2018-2-7,363
2018-2-8,360
2018-2-9,360
2018-2-10,360
2018-2-11,370
2018-2-12,393
2018-2-13,405
2018-2-14,425
2018-2-15,425
2018-2-16,425
2018-2-17,410
2018-2-18,400
2018-2-19,392
2018-2-20,375
2018-2-21,370
2018-2-22,370
2018-2-23,370
