ds,y
2016-1-1,421
2016-1-2,421
2016-1-3,421
2016-1-4,421
2016-1-5,421
2016-1-6,421
2016-1-7,421
2016-1-8,413
2016-1-9,413
2016-1-10,413
2016-1-11,413
2016-1-12,413
2016-1-13,413
2016-1-14,413
2016-1-15,413
2016-1-16,413
2016-1-17,413
2016-1-18,413
2016-1-19,413
2016-1-20,413
2016-1-21,413
2016-1-22,413
2016-1-23,413
2016-1-24,413
2016-1-25,413
2016-1-26,418
2016-1-27,418
2016-1-28,418
2016-1-29,418
2016-1-30,418
2016-1-31,418
2016-2-1,418
2016-2-2,403
2016-2-3,403
2016-2-4,403
2016-2-5,383
2016-2-6,383
2016-2-7,378
2016-2-8,378
2016-2-9,378
2016-2-10,378
2016-2-11,378
2016-2-12,378
2016-2-13,378
2016-2-14,378
2016-2-15,378
2016-2-16,378
2016-2-17,378
2016-2-18,378
2016-2-19,378
2016-2-20,378
2016-2-21,378
2016-2-22,378
2016-2-23,378
2016-2-24,378
2016-2-25,378
2016-2-26,358
2016-2-27,358
2016-2-28,340
2016-3-1,328
2016-3-2,328
2016-3-3,328
2016-3-4,328
2016-3-5,328
2016-3-6,328
2016-3-7,328
2016-3-8,338
2016-3-9,338
2016-3-10,338
2016-3-11,338
2016-3-12,338
2016-3-13,338
2016-3-14,338
2016-3-15,338
2016-3-16,338
2016-3-17,338
2016-3-18,318
2016-3-19,318
2016-3-20,318
2016-3-21,318
2016-3-22,328
2016-3-23,328
2016-3-24,328
2016-3-25,338
2016-3-26,338
2016-3-27,348
2016-3-28,348
2016-3-29,348
2016-3-30,348
2016-3-31,348
2016-4-1,348
2016-4-2,348
2016-4-3,348
2016-4-4,348
2016-4-5,348
2016-4-6,348
2016-4-7,348
2016-4-8,348
2016-4-9,348
2016-4-10,348
2016-4-11,348
2016-4-12,348
2016-4-13,348
2016-4-14,348
2016-4-15,348
2016-4-16,348
2016-4-17,343
2016-4-18,343
2016-4-19,338
2016-4-20,338
2016-4-21,338
2016-4-22,338
2016-4-23,338
2016-4-24,328
2016-4-25,328
2016-4-26,308
2016-4-27,308
2016-4-28,308
2016-4-29,308
2016-4-30,308
2016-5-1,323
2016-5-2,323
2016-5-3,343
2016-5-4,353
2016-5-5,353
2016-5-6,373
2016-5-7,383
2016-5-8,398
2016-5-9,398
2016-5-10,408
2016-5-11,428
2016-5-12,433
2016-5-13,443
2016-5-14,453
2016-5-15,463
2016-5-16,463
2016-5-17,463
2016-5-18,463
2016-5-19,463
2016-5-20,448
2016-5-21,448
2016-5-22,433
2016-5-23,433
2016-5-24,433
2016-5-25,433
2016-5-26,433
2016-5-27,433
2016-5-28,433
2016-5-29,413
2016-5-30,413
2016-5-31,413
2016-6-1,413
2016-6-2,413
2016-6-3,413
2016-6-4,413
2016-6-5,413
2016-6-6,413
2016-6-7,413
2016-6-8,413
2016-6-9,413
2016-6-10,413
2016-6-11,413
2016-6-12,413
2016-6-13,413
2016-6-14,423
2016-6-15,423
