ds,y
2016-1-1,425
2016-1-2,425
2016-1-3,425
2016-1-4,425
2016-1-5,419
2016-1-6,415
2016-1-7,410
2016-1-8,410
2016-1-9,410
2016-1-10,410
2016-1-11,410
2016-1-12,410
2016-1-13,410
2016-1-14,410
2016-1-15,400
2016-1-16,400
2016-1-17,400
2016-1-18,400
2016-1-19,393
2016-1-20,393
2016-1-21,393
2016-1-22,400
2016-1-23,421
2016-1-24,426
2016-1-25,440
2016-1-26,450
2016-1-27,450
2016-1-28,450
2016-1-29,430
2016-1-30,430
2016-1-31,418
2016-2-1,405
2016-2-2,395
2016-2-3,395
2016-2-4,390
2016-2-5,380
2016-2-6,380
2016-2-7,380
2016-2-8,380
2016-2-9,370
2016-2-10,370
2016-2-11,370
2016-2-12,370
2016-2-13,370
2016-2-14,370
2016-2-15,370
2016-2-16,355
2016-2-17,355
2016-2-18,350
2016-2-19,350
2016-2-20,340
2016-2-21,340
2016-2-22,340
2016-2-23,340
2016-2-24,340
2016-2-25,340
2016-2-26,325
2016-2-27,320
2016-2-28,320
2016-3-1,310
2016-3-2,300
2016-3-3,295
2016-3-4,290
2016-3-5,290
2016-3-6,290
2016-3-7,300
2016-3-8,300
2016-3-9,300
2016-3-10,300
2016-3-11,290
2016-3-12,290
2016-3-13,290
2016-3-14,290
2016-3-15,290
2016-3-16,290
2016-3-17,290
2016-3-18,295
2016-3-19,300
2016-3-20,305
2016-3-21,305
2016-3-22,305
2016-3-23,315
2016-3-24,322
2016-3-25,325
2016-3-26,325
2016-3-27,325
2016-3-28,325
2016-3-29,325
2016-3-30,315
2016-3-31,310
2016-4-1,306
2016-4-2,306
2016-4-3,307
2016-4-4,307
2016-4-5,307
2016-4-6,307
2016-4-7,300
2016-4-8,282
2016-4-9,282
2016-4-10,282
2016-4-11,282
2016-4-12,284
2016-4-13,284
2016-4-14,284
2016-4-15,284
2016-4-16,284
2016-4-17,284
2016-4-18,284
2016-4-19,280
2016-4-20,280
2016-4-21,275
2016-4-22,273
2016-4-23,270
2016-4-24,267
2016-4-25,267
2016-4-26,267
2016-4-27,267
2016-4-28,267
2016-4-29,271
2016-4-30,280
2016-5-1,288
2016-5-2,297
2016-5-3,308
2016-5-4,320
2016-5-5,340
2016-5-6,346
2016-5-7,346
2016-5-8,348
2016-5-9,356
2016-5-10,375
2016-5-11,377
2016-5-12,377
2016-5-13,377
2016-5-14,378
2016-5-15,378
2016-5-16,378
2016-5-17,378
2016-5-18,378
2016-5-19,360
2016-5-20,350
2016-5-21,350
2016-5-22,357
2016-5-23,359
2016-5-24,359
2016-5-25,359
2016-5-26,359
2016-5-27,359
2016-5-28,345
2016-5-29,340
2016-5-30,340
2016-5-31,350
2016-6-1,354
2016-6-2,354
2016-6-3,354
2016-6-4,354
2016-6-5,359
2016-6-6,359
2016-6-7,359
2016-6-8,359
2016-6-9,360
2016-6-10,362
2016-6-11,363
2016-6-12,364
2016-6-13,366
2016-6-14,374
2016-6-15,381
2016-6-16,383
2016-6-17,383
2016-6-18,383
2016-6-19,383
2016-6-20,385
2016-6-21,393
2016-6-22,401
2016-6-23,407
2016-6-24,408
2016-6-25,408
2016-6-26,408
2016-6-27,408
2016-6-28,398
2016-6-29,398
2016-6-30,398
2016-7-1,398
2016-7-2,398
2016-7-3,398
2016-7-4,398
2016-7-5,398
2016-7-6,398
2016-7-7,398
2016-7-8,404
2016-7-9,414
2016-7-10,419
2016-7-11,419
2016-7-12,419
2016-7-13,419
2016-7-14,426
2016-7-15,428
2016-7-16,428
2016-7-17,428
2016-7-18,428
2016-7-19,428
2016-7-20,422
2016-7-21,416
2016-7-22,408
2016-7-23,402
2016-7-24,396
2016-7-25,396
2016-7-26,396
2016-7-27,396
2016-7-28,385
2016-7-29,380
2016-7-30,380
2016-7-31,380
2016-8-1,380
2016-8-2,383
2016-8-3,383
2016-8-4,383
2016-8-5,383
2016-8-6,383
2016-8-7,392
2016-8-8,405
2016-8-9,408
2016-8-10,408
2016-8-11,422
2016-8-12,429
2016-8-13,437
2016-8-14,445
2016-8-15,445
2016-8-16,445
2016-8-17,445
2016-8-18,430
2016-8-19,430
2016-8-20,430
2016-8-21,430
2016-8-22,430
2016-8-23,435
2016-8-24,435
2016-8-25,435
2016-8-26,425
2016-8-27,400
2016-8-28,400
2016-8-29,400
2016-8-30,390
2016-8-31,394
2016-9-1,345
2016-9-2,346
2016-9-3,346
2016-9-4,346
2016-9-5,346
2016-9-6,346
2016-9-7,346
2016-9-8,346
2016-9-9,353
2016-9-10,360
2016-9-11,360
2016-9-12,360
2016-9-13,370
2016-9-14,383
2016-9-15,383
2016-9-16,383
2016-9-17,383
2016-9-18,383
