ds,y
2016-1-1,380
2016-1-2,380
2016-1-3,380
2016-1-4,380
2016-1-5,380
2016-1-6,380
2016-1-7,370
2016-1-8,370
2016-1-9,370
2016-1-10,370
2016-1-11,370
2016-1-12,372
2016-1-13,372
2016-1-14,372
2016-1-15,372
2016-1-16,372
2016-1-17,372
2016-1-18,372
2016-1-19,372
2016-1-20,362
2016-1-21,362
2016-1-22,364
2016-1-23,372
2016-1-24,382
2016-1-25,382
2016-1-26,390
2016-1-27,393
2016-1-28,393
2016-1-29,393
2016-1-30,393
2016-1-31,380
2016-2-1,380
2016-2-2,360
2016-2-3,350
2016-2-4,350
2016-2-5,350
2016-2-6,350
2016-2-7,338
2016-2-8,338
2016-2-9,340
2016-2-10,340
2016-2-11,340
2016-2-12,340
2016-2-13,340
2016-2-14,340
2016-2-15,340
2016-2-16,338
2016-2-17,338
2016-2-18,325
2016-2-19,325
2016-2-20,325
2016-2-21,325
2016-2-22,325
2016-2-23,325
2016-2-24,325
2016-2-25,315
2016-2-26,315
2016-2-27,300
2016-2-28,300
2016-3-1,285
2016-3-2,285
2016-3-3,285
2016-3-4,285
2016-3-5,285
2016-3-6,285
2016-3-7,285
2016-3-8,290
2016-3-9,290
2016-3-10,290
2016-3-11,290
2016-3-12,290
2016-3-13,280
2016-3-14,280
2016-3-15,290
2016-3-16,280
2016-3-17,280
2016-3-18,280
2016-3-19,280
2016-3-20,285
2016-3-21,285
2016-3-22,295
2016-3-23,300
2016-3-24,300
2016-3-25,305
2016-3-26,305
2016-3-27,315
2016-3-28,315
2016-3-29,315
2016-3-30,315
2016-3-31,315
2016-4-1,320
2016-4-2,320
2016-4-3,320
2016-4-4,320
2016-4-5,310
2016-4-6,310
2016-4-7,300
2016-4-8,300
2016-4-9,300
2016-4-10,300
2016-4-11,300
2016-4-12,290
2016-4-13,290
2016-4-14,290
2016-4-15,290
2016-4-16,290
2016-4-17,290
2016-4-18,290
2016-4-19,290
2016-4-20,290
2016-4-21,290
2016-4-22,290
2016-4-23,275
2016-4-24,275
2016-4-25,275
2016-4-26,275
2016-4-27,275
2016-4-28,275
2016-4-29,280
2016-4-30,285
2016-5-1,295
2016-5-2,297
2016-5-3,307
2016-5-4,317
2016-5-5,325
2016-5-6,340
2016-5-7,350
2016-5-8,365
2016-5-9,375
2016-5-10,380
2016-5-11,385
2016-5-12,395
2016-5-13,402
2016-5-14,410
2016-5-15,421
2016-5-16,421
2016-5-17,421
2016-5-18,421
2016-5-19,421
2016-5-20,401
2016-5-21,401
2016-5-22,385
2016-5-23,385
2016-5-24,390
2016-5-25,390
2016-5-26,390
2016-5-27,390
2016-5-28,370
2016-5-29,360
2016-5-30,360
2016-5-31,360
2016-6-1,360
2016-6-2,360
2016-6-3,360
2016-6-4,360
2016-6-5,360
2016-6-6,360
2016-6-7,362
2016-6-8,362
2016-6-9,365
2016-6-10,368
2016-6-11,371
2016-6-12,375
2016-6-13,379
2016-6-14,382
2016-6-15,385
2016-6-16,387
2016-6-17,390
2016-6-18,392
2016-6-19,395
2016-6-20,397
2016-6-21,402
2016-6-22,405
2016-6-23,408
2016-6-24,411
2016-6-25,413
2016-6-26,415
2016-6-27,415
2016-6-28,415
2016-6-29,415
2016-6-30,415
2016-7-1,415
2016-7-2,415
2016-7-3,415
2016-7-4,415
2016-7-5,415
2016-7-6,415
2016-7-7,415
2016-7-8,415
2016-7-9,415
2016-7-10,415
2016-7-11,415
2016-7-12,415
2016-7-13,415
2016-7-14,415
2016-7-15,415
2016-7-16,415
2016-7-17,415
2016-7-18,415
2016-7-19,415
2016-7-20,415
2016-7-21,415
2016-7-22,415
2016-7-23,415
2016-7-24,415
2016-7-25,415
2016-7-26,415
2016-7-27,405
2016-7-28,405
2016-7-29,405
2016-7-30,405
2016-7-31,405
2016-8-1,385
2016-8-2,365
2016-8-3,365
2016-8-4,365
2016-8-5,365
2016-8-6,365
2016-8-7,365
2016-8-8,365
2016-8-9,365
2016-8-10,365
2016-8-11,370
2016-8-12,380
2016-8-13,385
2016-8-14,395
2016-8-15,395
2016-8-16,405
2016-8-17,405
2016-8-18,405
2016-8-19,405
2016-8-20,405
2016-8-21,405
2016-8-22,405
2016-8-23,405
2016-8-24,405
2016-8-25,405
2016-8-26,405
2016-8-27,405
2016-8-28,395
2016-8-29,395
2016-8-30,380
2016-8-31,380
2016-9-1,300
2016-9-2,300
2016-9-3,300
2016-9-4,300
2016-9-5,300
2016-9-6,300
2016-9-7,300
2016-9-8,300
2016-9-9,300
2016-9-10,305
2016-9-11,315
2016-9-12,320
2016-9-13,330
2016-9-14,335
2016-9-15,345
2016-9-16,350
2016-9-17,355
2016-9-18,355
2016-9-19,355
2016-9-20,355
2016-9-21,355
2016-9-22,340
2016-9-23,330
2016-9-24,330
2016-9-25,330
2016-9-26,330
2016-9-27,330
2016-9-28,330
2016-9-29,330
2016-9-30,330
2016-10-1,330
2016-10-2,320
2016-10-3,320
2016-10-4,320
2016-10-5,320
2016-10-6,320
2016-10-7,320
2016-10-8,320
2016-10-9,320
2016-10-10,320
2016-10-11,320
2016-10-12,320
2016-10-13,320
2016-10-14,300
2016-10-15,300
2016-10-16,310
2016-10-17,320
2016-10-18,330
2016-10-19,335
2016-10-20,345
2016-10-21,355
2016-10-22,360
2016-10-23,365
2016-10-24,365
2016-10-25,368
2016-10-26,375
2016-10-27,380
2016-10-28,380
2016-10-29,380
2016-10-30,380
2016-10-31,380
2016-11-1,380
2016-11-2,380
2016-11-3,380
2016-11-4,380
2016-11-5,380
2016-11-6,380
2016-11-7,380
2016-11-8,380
2016-11-9,380
2016-11-10,380
2016-11-11,380
2016-11-12,380
2016-11-13,360
2016-11-14,360
2016-11-15,340
2016-11-16,320
2016-11-17,300
2016-11-18,300
2016-11-19,320
2016-11-20,340
2016-11-21,350
2016-11-22,360
2016-11-23,360
2016-11-24,360
2016-11-25,360
2016-11-26,360
2016-11-27,360
2016-11-28,360
2016-11-29,360
2016-11-30,360
2016-12-1,360
2016-12-2,360
2016-12-3,360
2016-12-4,360
2016-12-5,360
2016-12-6,360
2016-12-7,360
2016-12-8,360
2016-12-9,363
2016-12-10,366
2016-12-11,366
2016-12-12,366
2016-12-13,370
2016-12-14,372
2016-12-15,372
2016-12-16,372
2016-12-17,372
2016-12-18,372
2016-12-19,360
2016-12-20,340
2016-12-21,340
2016-12-22,340
2016-12-23,340
2016-12-24,340
2016-12-25,340
2016-12-26,343
2016-12-27,343
2016-12-28,343
2016-12-29,345
2016-12-30,345
2016-12-31,335
2017-1-1,335
2017-1-2,335
2017-1-3,335
2017-1-4,325
2017-1-5,325
2017-1-6,325
2017-1-7,325
2017-1-8,325
2017-1-9,330
2017-1-10,330
2017-1-11,330
2017-1-12,330
2017-1-13,330
2017-1-14,330
2017-1-15,330
2017-1-16,330
2017-1-17,310
2017-1-18,300
2017-1-19,300
2017-1-20,300
2017-1-21,300
2017-1-22,300
2017-1-23,305
2017-1-24,315
2017-1-25,315
2017-1-26,315
2017-1-27,315
2017-1-28,315
2017-1-29,315
2017-1-30,315
2017-1-31,315
2017-2-1,315
2017-2-2,300
2017-2-3,300
2017-2-4,300
2017-2-5,290
2017-2-6,290
2017-2-7,290
2017-2-8,290
2017-2-9,290
2017-2-10,290
2017-2-11,290
2017-2-12,290
2017-2-13,305
2017-2-14,310
2017-2-15,310
2017-2-16,310
2017-2-17,315
2017-2-18,315
2017-2-19,320
2017-2-20,325
2017-2-21,330
2017-2-22,330
2017-2-23,333
2017-2-24,338
2017-2-25,338
2017-2-26,342
2017-2-27,345
2017-2-28,348
2017-3-1,348
2017-3-2,348
2017-3-3,348
2017-3-4,338
