ds,y
2016-1-1,405
2016-1-2,405
2016-1-3,405
2016-1-4,405
2016-1-5,405
2016-1-6,405
2016-1-7,395
2016-1-8,395
2016-1-9,395
2016-1-10,395
2016-1-11,395
2016-1-12,395
2016-1-13,395
2016-1-14,395
2016-1-15,385
2016-1-16,385
2016-1-17,385
2016-1-18,385
2016-1-19,385
2016-1-20,385
2016-1-21,375
2016-1-22,375
2016-1-23,385
2016-1-24,395
2016-1-25,400
2016-1-26,405
2016-1-27,410
2016-1-28,410
2016-1-29,410
2016-1-30,395
2016-1-31,385
2016-2-1,385
2016-2-2,375
2016-2-3,375
2016-2-4,375
2016-2-5,375
2016-2-6,375
2016-2-7,365
2016-2-8,365
2016-2-9,365
2016-2-10,365
2016-2-11,365
2016-2-12,365
2016-2-13,365
2016-2-14,365
2016-2-15,365
2016-2-16,355
2016-2-17,345
2016-2-18,335
2016-2-19,335
2016-2-20,335
2016-2-21,335
2016-2-22,335
2016-2-23,335
2016-2-24,335
2016-2-25,325
2016-2-26,320
2016-2-27,310
2016-2-28,305
2016-3-1,300
2016-3-2,290
2016-3-3,290
2016-3-4,290
2016-3-5,290
2016-3-6,290
2016-3-7,290
2016-3-8,290
2016-3-9,290
2016-3-10,295
2016-3-11,295
2016-3-12,295
2016-3-13,285
2016-3-14,285
2016-3-15,285
2016-3-16,285
2016-3-17,285
2016-3-18,285
2016-3-19,290
2016-3-20,295
2016-3-21,300
2016-3-22,310
2016-3-23,315
2016-3-24,315
2016-3-25,320
2016-3-26,320
2016-3-27,325
2016-3-28,325
2016-3-29,325
2016-3-30,325
2016-3-31,320
2016-4-1,320
2016-4-2,320
2016-4-3,320
2016-4-4,320
2016-4-5,315
2016-4-6,315
2016-4-7,315
2016-4-8,305
2016-4-9,305
2016-4-10,300
2016-4-11,300
2016-4-12,290
2016-4-13,290
2016-4-14,285
2016-4-15,285
2016-4-16,288
2016-4-17,290
2016-4-18,290
2016-4-19,290
2016-4-20,290
2016-4-21,290
2016-4-22,280
2016-4-23,280
2016-4-24,280
2016-4-25,280
2016-4-26,280
2016-4-27,282
2016-4-28,284
2016-4-29,286
2016-4-30,291
2016-5-1,296
2016-5-2,304
2016-5-3,314
2016-5-4,324
2016-5-5,334
2016-5-6,345
2016-5-7,360
2016-5-8,370
2016-5-9,380
2016-5-10,390
2016-5-11,400
2016-5-12,410
2016-5-13,420
2016-5-14,430
2016-5-15,440
2016-5-16,440
2016-5-17,440
2016-5-18,440
2016-5-19,430
2016-5-20,410
2016-5-21,400
2016-5-22,400
2016-5-23,400
2016-5-24,400
2016-5-25,400
2016-5-26,400
2016-5-27,380
2016-5-28,360
2016-5-29,340
2016-5-30,340
2016-5-31,342
2016-6-1,347
2016-6-2,350
2016-6-3,353
2016-6-4,355
2016-6-5,358
2016-6-6,358
2016-6-7,364
2016-6-8,367
2016-6-9,358
2016-6-10,361
2016-6-11,365
2016-6-12,369
2016-6-13,373
2016-6-14,377
2016-6-15,381
2016-6-16,385
2016-6-17,388
2016-6-18,391
2016-6-19,394
2016-6-20,397
2016-6-21,401
2016-6-22,405
2016-6-23,408
2016-6-24,410
2016-6-25,412
2016-6-26,414
2016-6-27,414
2016-6-28,414
2016-6-29,414
2016-6-30,414
2016-7-1,414
2016-7-2,414
2016-7-3,414
2016-7-4,414
2016-7-5,414
2016-7-6,414
2016-7-7,414
2016-7-8,414
2016-7-9,414
2016-7-10,416
2016-7-11,416
2016-7-12,416
2016-7-13,416
2016-7-14,416
