ds,y
2016-1-1,-
2016-1-2,-
2016-1-3,-
2016-1-4,-
2016-1-5,-
2016-1-6,-
2016-1-7,-
2016-1-8,-
2016-1-9,-
2016-1-10,-
2016-1-11,-
2016-1-12,-
2016-1-13,-
2016-1-14,-
2016-1-15,-
2016-1-16,-
2016-1-17,-
2016-1-18,-
2016-1-19,-
2016-1-20,-
2016-1-21,-
2016-1-22,-
2016-1-23,-
2016-1-24,-
2016-1-25,-
2016-1-26,-
2016-1-27,-
2016-1-28,-
2016-1-29,-
2016-1-30,-
2016-1-31,-
ds,y
2016-1-1,419
2016-1-2,419
2016-1-3,419
2016-1-4,413
2016-1-5,413
2016-1-6,410
2016-1-7,406
2016-1-8,406
2016-1-9,405
2016-1-10,407
2016-1-11,407
2016-1-12,407
2016-1-13,407
2016-1-14,408
2016-1-15,400
2016-1-16,400
2016-1-17,400
2016-1-18,395
2016-1-19,397
2016-1-20,395
2016-1-21,395
2016-1-22,395
2016-1-23,408
2016-1-24,417
2016-1-25,423
2016-1-26,428
2016-1-27,432
2016-1-28,432
2016-1-29,432
2016-1-30,417
2016-1-31,410
2016-2-1,-
2016-2-2,-
2016-2-3,-
2016-2-4,-
2016-2-5,-
2016-2-6,-
2016-2-7,-
2016-2-8,-
2016-2-9,-
2016-2-10,-
2016-2-11,-
2016-2-12,-
2016-2-13,-
2016-2-14,-
2016-2-15,-
2016-2-16,-
2016-2-17,-
2016-2-18,-
2016-2-19,-
2016-2-20,-
2016-2-21,-
2016-2-22,-
2016-2-23,-
2016-2-24,-
2016-2-25,-
2016-2-26,-
2016-2-27,-
2016-2-28,-
2016-2-1,403
2016-2-2,393
2016-2-3,380
2016-2-4,380
2016-2-5,370
2016-2-6,365
2016-2-7,365
2016-2-8,367
2016-2-9,368
2016-2-10,370
2016-2-11,370
2016-2-12,371
2016-2-13,367
2016-2-14,365
2016-2-15,362
2016-2-16,357
2016-2-17,350
2016-2-18,345
2016-2-19,335
2016-2-20,332
2016-2-21,333
2016-2-22,333
2016-2-23,335
2016-2-24,335
2016-2-25,329
2016-2-26,322
2016-2-27,318
2016-2-28,310
2016-3-1,-
2016-3-2,-
2016-3-3,-
2016-3-4,-
2016-3-5,-
2016-3-6,-
2016-3-7,-
2016-3-8,-
2016-3-9,-
2016-3-10,-
2016-3-11,-
2016-3-12,-
2016-3-13,-
2016-3-14,-
2016-3-15,-
2016-3-16,-
2016-3-17,-
2016-3-18,-
2016-3-19,-
2016-3-20,-
2016-3-21,-
2016-3-22,-
2016-3-23,-
2016-3-24,-
2016-3-25,-
2016-3-26,-
2016-3-27,-
2016-3-28,-
2016-3-29,-
2016-3-30,-
2016-3-31,-
2016-3-1,305
2016-3-2,295
2016-3-3,292
2016-3-4,294
2016-3-5,296
2016-3-6,298
2016-3-7,303
2016-3-8,307
2016-3-9,308
2016-3-10,308
2016-3-11,308
2016-3-12,303
2016-3-13,303
2016-3-14,300
2016-3-15,297
2016-3-16,295
2016-3-17,295
2016-3-18,295
2016-3-19,301
2016-3-20,306
2016-3-21,311
2016-3-22,315
2016-3-23,325
2016-3-24,330
2016-3-25,335
2016-3-26,335
2016-3-27,336
2016-3-28,336
2016-3-29,336
2016-3-30,331
2016-3-31,327
2016-4-1,-
2016-4-2,-
2016-4-3,-
2016-4-4,-
2016-4-5,-
2016-4-6,-
2016-4-7,-
2016-4-8,-
2016-4-9,-
2016-4-10,-
2016-4-11,-
2016-4-12,-
2016-4-13,-
2016-4-14,-
2016-4-15,-
2016-4-16,-
2016-4-17,-
2016-4-18,-
2016-4-19,-
2016-4-20,-
2016-4-21,-
2016-4-22,-
2016-4-23,-
2016-4-24,-
2016-4-25,-
2016-4-26,-
2016-4-27,-
2016-4-28,-
2016-4-29,-
2016-4-30,-
2016-4-1,327
2016-4-2,323
2016-4-3,323
2016-4-4,325
2016-4-5,318
2016-4-6,310
2016-4-7,310
2016-4-8,305
2016-4-9,305
2016-4-10,305
2016-4-11,300
2016-4-12,295
2016-4-13,295
2016-4-14,292
2016-4-15,295
2016-4-16,295
2016-4-17,295
2016-4-18,297
2016-4-19,297
2016-4-20,297
2016-4-21,297
2016-4-22,292
2016-4-23,292
2016-4-24,287
2016-4-25,283
2016-4-26,283
2016-4-27,283
2016-4-28,288
2016-4-29,293
2016-4-30,300
2016-5-1,-
2016-5-2,-
2016-5-3,-
2016-5-4,-
2016-5-5,-
2016-5-6,-
2016-5-7,-
2016-5-8,-
2016-5-9,-
2016-5-10,-
2016-5-11,-
2016-5-12,-
2016-5-13,-
2016-5-14,-
2016-5-15,-
2016-5-16,-
2016-5-17,-
2016-5-18,-
2016-5-19,-
2016-5-20,-
2016-5-21,-
2016-5-22,-
2016-5-23,-
2016-5-24,-
2016-5-25,-
2016-5-26,-
2016-5-27,-
2016-5-28,-
2016-5-29,-
2016-5-30,-
2016-5-31,-
2016-5-1,308
2016-5-2,320
2016-5-3,333
2016-5-4,353
2016-5-5,353
2016-5-6,362
2016-5-7,373
2016-5-8,380
2016-5-9,390
2016-5-10,400
2016-5-11,410
2016-5-12,413
2016-5-13,423
2016-5-14,423
2016-5-15,415
2016-5-16,405
2016-5-17,406
2016-5-18,390
2016-5-19,380
2016-5-20,375
2016-5-21,372
2016-5-22,372
2016-5-23,374
2016-5-24,379
2016-5-25,380
2016-5-26,380
2016-5-27,380
2016-5-28,360
2016-5-29,350
2016-5-30,355
2016-5-31,360
2016-6-1,-
2016-6-2,-
2016-6-3,-
2016-6-4,-
2016-6-5,-
2016-6-6,-
2016-6-7,-
2016-6-8,-
2016-6-9,-
2016-6-10,-
2016-6-11,-
2016-6-12,-
2016-6-13,-
2016-6-14,-
2016-6-15,-
2016-6-16,-
2016-6-17,-
2016-6-18,-
2016-6-19,-
2016-6-20,-
2016-6-21,-
2016-6-22,-
2016-6-23,-
2016-6-24,-
2016-6-25,-
2016-6-26,-
2016-6-27,-
2016-6-28,-
2016-6-29,-
2016-6-30,-
2016-6-1,366
2016-6-2,366
2016-6-3,360
2016-6-4,366
2016-6-5,368
2016-6-6,371
2016-6-7,375
2016-6-8,376
2016-6-9,380
2016-6-10,381
2016-6-11,384
2016-6-12,388
2016-6-13,395
2016-6-14,400
2016-6-15,405
2016-6-16,405
2016-6-17,409
2016-6-18,409
2016-6-19,412
2016-6-20,414
2016-6-21,420
2016-6-22,426
2016-6-23,428
2016-6-24,432
2016-6-25,432
2016-6-26,432
2016-6-27,432
2016-6-28,425
2016-6-29,425
2016-6-30,425
2016-7-1,-
2016-7-2,-
2016-7-3,-
2016-7-4,-
2016-7-5,-
2016-7-6,-
2016-7-7,-
2016-7-8,-
2016-7-9,-
2016-7-10,-
2016-7-11,-
2016-7-12,-
2016-7-13,-
2016-7-14,-
2016-7-15,-
2016-7-16,-
2016-7-17,-
2016-7-18,-
2016-7-19,-
2016-7-20,-
2016-7-21,-
2016-7-22,-
2016-7-23,-
2016-7-24,-
2016-7-25,-
2016-7-26,-
2016-7-27,-
2016-7-28,-
2016-7-29,-
2016-7-30,-
2016-7-31,-
2016-7-1,427
2016-7-2,429
2016-7-3,432
2016-7-4,434
2016-7-5,434
2016-7-6,434
2016-7-7,434
2016-7-8,436
2016-7-9,437
2016-7-10,442
2016-7-11,443
2016-7-12,443
2016-7-13,443
2016-7-14,444
2016-7-15,444
2016-7-16,444
2016-7-17,444
2016-7-18,444
2016-7-19,444
2016-7-20,444
2016-7-21,440
2016-7-22,440
2016-7-23,440
2016-7-24,440
2016-7-25,435
2016-7-26,430
2016-7-27,430
2016-7-28,420
2016-7-29,420
2016-7-30,410
2016-7-31,406
2016-8-1,367
