ds,y
2016-1-1,445
2016-1-2,445
2016-1-3,445
2016-1-4,445
2016-1-5,433
2016-1-6,429
2016-1-7,424
2016-1-8,424
2016-1-9,424
2016-1-10,424
2016-1-11,424
2016-1-12,424
2016-1-13,424
2016-1-14,424
2016-1-15,424
2016-1-16,424
2016-1-17,419
2016-1-18,409
2016-1-19,409
2016-1-20,409
2016-1-21,412
2016-1-22,415
2016-1-23,419
2016-1-24,419
2016-1-25,422
2016-1-26,423
2016-1-27,430
2016-1-28,435
2016-1-29,435
2016-1-30,435
2016-1-31,435
2016-2-1,427
2016-2-2,422
2016-2-3,412
2016-2-4,412
2016-2-5,412
2016-2-6,412
2016-2-7,412
2016-2-8,412
2016-2-9,412
2016-2-10,399
2016-2-11,399
2016-2-12,396
2016-2-13,396
2016-2-14,392
2016-2-15,390
2016-2-16,378
2016-2-17,378
2016-2-18,371
2016-2-19,365
2016-2-20,363
2016-2-21,363
2016-2-22,357
2016-2-23,357
2016-2-24,348
2016-2-25,348
2016-2-26,346
2016-2-27,346
2016-2-28,342
2016-3-1,335
2016-3-2,335
2016-3-3,328
2016-3-4,328
2016-3-5,328
2016-3-6,328
2016-3-7,328
2016-3-8,328
2016-3-9,329
2016-3-10,325
2016-3-11,321
2016-3-12,320
2016-3-13,310
2016-3-14,310
2016-3-15,313
2016-3-16,315
2016-3-17,317
2016-3-18,320
2016-3-19,325
2016-3-20,325
2016-3-21,332
2016-3-22,335
2016-3-23,342
2016-3-24,343
2016-3-25,345
2016-3-26,347
2016-3-27,351
2016-3-28,353
2016-3-29,354
2016-3-30,358
2016-3-31,358
2016-4-1,358
2016-4-2,358
2016-4-3,352
2016-4-4,352
2016-4-5,352
2016-4-6,352
2016-4-7,352
2016-4-8,352
2016-4-9,343
2016-4-10,343
2016-4-11,340
2016-4-12,334
2016-4-13,330
2016-4-14,320
2016-4-15,320
2016-4-16,317
2016-4-17,310
2016-4-18,310
2016-4-19,307
2016-4-20,307
2016-4-21,-
2016-4-22,307
2016-4-23,307
2016-4-24,307
2016-4-25,307
2016-4-26,300
2016-4-27,300
2016-4-28,300
2016-4-29,300
2016-4-30,303
2016-5-1,310
2016-5-2,315
2016-5-3,327
2016-5-4,333
2016-5-5,343
2016-5-6,360
2016-5-7,380
2016-5-8,385
2016-5-9,390
2016-5-10,390
2016-5-11,400
2016-5-12,412
2016-5-13,412
2016-5-14,412
2016-5-15,420
2016-5-16,425
2016-5-17,428
2016-5-18,435
2016-5-19,437
2016-5-20,437
2016-5-21,437
2016-5-22,437
2016-5-23,400
2016-5-24,400
2016-5-25,400
2016-5-26,400
2016-5-27,388
2016-5-28,379
2016-5-29,379
2016-5-30,379
2016-5-31,379
2016-6-1,379
2016-6-2,385
2016-6-3,387
2016-6-4,387
2016-6-5,390
2016-6-6,391
2016-6-7,393
2016-6-8,400
2016-6-9,400
2016-6-10,400
2016-6-11,405
2016-6-12,405
2016-6-13,410
2016-6-14,411
2016-6-15,411
2016-6-16,417
2016-6-17,419
2016-6-18,422
2016-6-19,422
2016-6-20,425
2016-6-21,426
2016-6-22,432
2016-6-23,433
2016-6-24,433
2016-6-25,433
2016-6-26,433
2016-6-27,424
2016-6-28,420
2016-6-29,430
2016-6-30,440
2016-7-1,445
2016-7-2,445
2016-7-3,445
2016-7-4,445
2016-7-5,445
2016-7-6,445
2016-7-7,445
2016-7-8,445
2016-7-9,445
2016-7-10,445
2016-7-11,447
2016-7-12,450
2016-7-13,450
2016-7-14,450
2016-7-15,450
2016-7-16,453
2016-7-17,453
2016-7-18,453
2016-7-19,453
2016-7-20,453
2016-7-21,453
2016-7-22,453
2016-7-23,453
2016-7-24,453
2016-7-25,453
2016-7-26,443
2016-7-27,445
2016-7-28,445
2016-7-29,440
2016-7-30,440
2016-7-31,440
2016-8-1,450
2016-8-2,452
2016-8-3,452
2016-8-4,452
2016-8-5,452
2016-8-6,455
2016-8-7,460
2016-8-8,465
2016-8-9,470
2016-8-10,475
2016-8-11,485
2016-8-12,495
2016-8-13,505
2016-8-14,515
2016-8-15,515
2016-8-16,515
2016-8-17,517
2016-8-18,519
2016-8-19,509
2016-8-20,502
2016-8-21,500
2016-8-22,505
2016-8-23,507
2016-8-24,507
2016-8-25,507
2016-8-26,500
2016-8-27,500
2016-8-28,480
2016-8-29,475
2016-8-30,455
2016-8-31,461
2016-9-1,355
2016-9-2,355
2016-9-3,355
2016-9-4,357
2016-9-5,357
2016-9-6,363
2016-9-7,365
2016-9-8,372
2016-9-9,380
2016-9-10,385
2016-9-11,387
2016-9-12,390
2016-9-13,395
2016-9-14,405
2016-9-15,410
2016-9-16,412
2016-9-17,412
2016-9-18,412
2016-9-19,412
2016-9-20,408
2016-9-21,403
