ds,y
2016-1-1,405
2016-1-2,405
2016-1-3,405
2016-1-4,405
2016-1-5,400
2016-1-6,390
2016-1-7,395
2016-1-8,395
2016-1-9,390
2016-1-10,390
2016-1-11,390
2016-1-12,390
2016-1-13,385
2016-1-14,380
2016-1-15,386
2016-1-16,386
2016-1-17,385
2016-1-18,380
2016-1-19,375
2016-1-20,375
2016-1-21,375
2016-1-22,375
2016-1-23,390
2016-1-24,395
2016-1-25,411
2016-1-26,422
2016-1-27,423
2016-1-28,423
2016-1-29,408
2016-1-30,398
2016-1-31,398
2016-2-1,386
2016-2-2,373
2016-2-3,373
2016-2-4,373
2016-2-5,363
2016-2-6,355
2016-2-7,350
2016-2-8,350
2016-2-9,350
2016-2-10,350
2016-2-11,350
2016-2-12,350
2016-2-13,350
2016-2-14,343
2016-2-15,343
2016-2-16,338
2016-2-17,338
2016-2-18,331
2016-2-19,325
2016-2-20,319
2016-2-21,319
2016-2-22,319
2016-2-23,308
2016-2-24,308
2016-2-25,308
2016-2-26,305
2016-2-27,300
2016-2-28,293
2016-3-1,293
2016-3-2,283
2016-3-3,273
2016-3-4,273
2016-3-5,273
2016-3-6,273
2016-3-7,280
2016-3-8,282
2016-3-9,282
2016-3-10,282
2016-3-11,273
2016-3-12,273
2016-3-13,273
2016-3-14,273
2016-3-15,273
2016-3-16,273
2016-3-17,273
2016-3-18,273
2016-3-19,280
2016-3-20,285
2016-3-21,285
2016-3-22,285
2016-3-23,285
2016-3-24,302
2016-3-25,304
2016-3-26,306
2016-3-27,300
2016-3-28,300
2016-3-29,300
2016-3-30,298
2016-3-31,298
2016-4-1,293
2016-4-2,293
2016-4-3,293
2016-4-4,293
2016-4-5,293
2016-4-6,288
2016-4-7,280
2016-4-8,273
2016-4-9,283
2016-4-10,283
2016-4-11,268
2016-4-12,260
2016-4-13,260
2016-4-14,269
2016-4-15,269
2016-4-16,269
2016-4-17,269
2016-4-18,269
2016-4-19,269
2016-4-20,265
2016-4-21,265
2016-4-22,274
2016-4-23,274
2016-4-24,270
2016-4-25,270
2016-4-26,270
2016-4-27,270
2016-4-28,270
2016-4-29,274
2016-4-30,282
2016-5-1,271
2016-5-2,281
2016-5-3,293
2016-5-4,304
2016-5-5,323
2016-5-6,331
2016-5-7,331
2016-5-8,331
2016-5-9,340
2016-5-10,359
2016-5-11,361
2016-5-12,361
2016-5-13,361
2016-5-14,361
2016-5-15,362
2016-5-16,362
2016-5-17,362
2016-5-18,352
2016-5-19,341
2016-5-20,337
2016-5-21,337
2016-5-22,337
2016-5-23,341
2016-5-24,343
2016-5-25,343
2016-5-26,343
2016-5-27,348
2016-5-28,328
2016-5-29,323
2016-5-30,323
2016-5-31,327
2016-6-1,338
2016-6-2,338
2016-6-3,338
2016-6-4,339
2016-6-5,343
2016-6-6,343
2016-6-7,343
2016-6-8,348
2016-6-9,343
2016-6-10,343
2016-6-11,343
2016-6-12,348
2016-6-13,351
2016-6-14,358
2016-6-15,365
2016-6-16,368
2016-6-17,368
2016-6-18,368
2016-6-19,368
2016-6-20,369
2016-6-21,377
2016-6-22,386
2016-6-23,392
2016-6-24,392
2016-6-25,392
2016-6-26,392
2016-6-27,392
2016-6-28,383
2016-6-29,388
2016-6-30,388
2016-7-1,383
2016-7-2,383
2016-7-3,383
2016-7-4,383
2016-7-5,383
2016-7-6,383
2016-7-7,383
2016-7-8,388
2016-7-9,398
2016-7-10,404
2016-7-11,404
2016-7-12,404
2016-7-13,410
2016-7-14,412
