ds,y
2016-1-1,449
2016-1-2,449
2016-1-3,449
2016-1-4,449
2016-1-5,449
2016-1-6,445
2016-1-7,435
2016-1-8,435
2016-1-9,435
2016-1-10,435
2016-1-11,435
2016-1-12,435
2016-1-13,435
2016-1-14,435
2016-1-15,425
2016-1-16,425
2016-1-17,425
2016-1-18,425
2016-1-19,425
2016-1-20,425
2016-1-21,415
2016-1-22,415
2016-1-23,425
2016-1-24,435
2016-1-25,435
2016-1-26,445
2016-1-27,445
2016-1-28,450
2016-1-29,450
2016-1-30,435
2016-1-31,435
2016-2-1,425
2016-2-2,415
2016-2-3,415
2016-2-4,415
2016-2-5,415
2016-2-6,415
2016-2-7,405
2016-2-8,405
2016-2-9,405
2016-2-10,405
2016-2-11,405
2016-2-12,405
2016-2-13,405
2016-2-14,405
2016-2-15,405
2016-2-16,395
2016-2-17,385
2016-2-18,375
2016-2-19,375
2016-2-20,375
2016-2-21,375
2016-2-22,375
2016-2-23,375
2016-2-24,375
2016-2-25,365
2016-2-26,360
2016-2-27,350
2016-2-28,340
2016-3-1,335
2016-3-2,325
2016-3-3,325
2016-3-4,320
2016-3-5,320
2016-3-6,320
2016-3-7,320
2016-3-8,325
2016-3-9,325
2016-3-10,330
2016-3-11,330
2016-3-12,330
2016-3-13,320
2016-3-14,320
2016-3-15,320
2016-3-16,320
2016-3-17,320
2016-3-18,320
2016-3-19,325
2016-3-20,330
2016-3-21,330
2016-3-22,340
2016-3-23,347
2016-3-24,347
2016-3-25,350
2016-3-26,350
2016-3-27,355
2016-3-28,355
2016-3-29,355
2016-3-30,355
2016-3-31,350
2016-4-1,350
2016-4-2,350
2016-4-3,350
2016-4-4,350
2016-4-5,345
2016-4-6,345
2016-4-7,345
2016-4-8,335
2016-4-9,335
2016-4-10,330
2016-4-11,330
2016-4-12,325
2016-4-13,325
2016-4-14,320
2016-4-15,320
2016-4-16,323
2016-4-17,323
2016-4-18,323
2016-4-19,323
2016-4-20,323
2016-4-21,323
2016-4-22,315
2016-4-23,315
2016-4-24,315
2016-4-25,315
2016-4-26,315
2016-4-27,317
2016-4-28,319
2016-4-29,321
2016-4-30,326
2016-5-1,331
2016-5-2,331
2016-5-3,345
2016-5-4,357
2016-5-5,368
2016-5-6,380
2016-5-7,392
2016-5-8,403
2016-5-9,414
2016-5-10,425
2016-5-11,435
2016-5-12,445
2016-5-13,455
2016-5-14,465
2016-5-15,475
2016-5-16,475
2016-5-17,475
2016-5-18,475
2016-5-19,455
2016-5-20,435
2016-5-21,425
2016-5-22,425
2016-5-23,425
2016-5-24,425
2016-5-25,425
2016-5-26,425
2016-5-27,410
2016-5-28,395
2016-5-29,385
2016-5-30,375
2016-5-31,377
2016-6-1,382
2016-6-2,385
