ds,y
2016-1-1,-
2016-1-2,-
2016-1-3,-
2016-1-4,-
2016-1-5,-
2016-1-6,-
2016-1-7,-
2016-1-8,-
2016-1-9,-
2016-1-10,-
2016-1-11,-
2016-1-12,-
2016-1-13,-
2016-1-14,-
2016-1-15,-
2016-1-16,-
2016-1-17,-
2016-1-18,-
2016-1-19,-
2016-1-20,-
2016-1-21,-
2016-1-22,-
2016-1-23,-
2016-1-24,-
2016-1-25,-
2016-1-26,-
2016-1-27,-
2016-1-28,-
2016-1-29,-
2016-1-30,-
2016-1-31,-
2016-2-1,-
2016-2-2,-
2016-2-3,-
2016-2-4,-
2016-2-5,-
2016-2-6,-
2016-2-7,-
2016-2-8,-
2016-2-9,-
2016-2-10,-
2016-2-11,-
2016-2-12,-
2016-2-13,-
2016-2-14,-
2016-2-15,-
2016-2-16,-
2016-2-17,-
2016-2-18,-
2016-2-19,-
2016-2-20,-
2016-2-21,-
2016-2-22,-
2016-2-23,-
2016-2-24,-
2016-2-25,-
2016-2-26,-
2016-2-27,-
2016-2-28,-
2016-3-1,-
2016-3-2,-
2016-3-3,-
2016-3-4,-
2016-3-5,-
2016-3-6,-
2016-3-7,-
2016-3-8,-
2016-3-9,-
2016-3-10,-
2016-3-11,-
2016-3-12,-
2016-3-13,-
2016-3-14,-
2016-3-15,-
2016-3-16,-
2016-3-17,-
2016-3-18,-
2016-3-19,-
2016-3-20,-
2016-3-21,-
2016-3-22,-
2016-3-23,-
2016-3-24,-
2016-3-25,-
2016-3-26,-
2016-3-27,-
2016-3-28,-
2016-3-29,-
2016-3-30,-
2016-3-31,-
2016-4-1,-
2016-4-2,-
2016-4-3,-
2016-4-4,-
2016-4-5,-
2016-4-6,-
2016-4-7,-
2016-4-8,-
2016-4-9,-
2016-4-10,-
2016-4-11,-
2016-4-12,-
2016-4-13,-
2016-4-14,-
2016-4-15,-
2016-4-16,-
2016-4-17,-
2016-4-18,-
2016-4-19,-
2016-4-20,-
2016-4-21,-
2016-4-22,-
2016-4-23,-
2016-4-24,-
2016-4-25,-
2016-4-26,-
2016-4-27,-
2016-4-28,-
2016-4-29,-
2016-4-30,-
2016-5-1,-
2016-5-2,-
2016-5-3,-
2016-5-4,-
2016-5-5,-
2016-5-6,-
2016-5-7,-
2016-5-8,-
2016-5-9,-
2016-5-10,-
2016-5-11,-
2016-5-12,-
2016-5-13,-
2016-5-14,-
2016-5-15,-
2016-5-16,-
2016-5-17,-
2016-5-18,-
2016-5-19,-
2016-5-20,-
2016-5-21,-
2016-5-22,-
2016-5-23,-
2016-5-24,-
2016-5-25,-
2016-5-26,-
2016-5-27,-
2016-5-28,-
2016-5-29,-
2016-5-30,-
2016-5-31,-
2016-6-1,-
2016-6-2,-
2016-6-3,-
2016-6-4,-
2016-6-5,-
2016-6-6,-
2016-6-7,-
2016-6-8,-
2016-6-9,-
2016-6-10,-
2016-6-11,-
2016-6-12,-
2016-6-13,-
2016-6-14,-
2016-6-15,-
2016-6-16,-
2016-6-17,-
2016-6-18,-
2016-6-19,-
2016-6-20,-
2016-6-21,-
2016-6-22,-
2016-6-23,-
2016-6-24,-
2016-6-25,-
2016-6-26,-
2016-6-27,-
2016-6-28,-
2016-6-29,-
2016-6-30,-
2016-7-1,-
2016-7-2,-
2016-7-3,-
2016-7-4,-
2016-7-5,-
2016-7-6,-
2016-7-7,-
2016-7-8,-
2016-7-9,-
2016-7-10,-
2016-7-11,-
2016-7-12,-
2016-7-13,-
2016-7-14,-
2016-7-15,-
2016-7-16,-
2016-7-17,-
2016-7-18,-
2016-7-19,-
2016-7-20,-
2016-7-21,-
2016-7-22,-
2016-7-23,-
2016-7-24,-
2016-7-25,-
2016-7-26,-
2016-7-27,-
2016-7-28,-
2016-7-29,-
2016-7-30,-
2016-7-31,-
2016-8-1,419
2016-8-2,424
2016-8-3,424
2016-8-4,424
2016-8-5,424
2016-8-6,424
2016-8-7,429
2016-8-8,438
2016-8-9,443
2016-8-10,448
2016-8-11,457
2016-8-12,471
2016-8-13,477
2016-8-14,481
2016-8-15,481
2016-8-16,481
2016-8-17,481
2016-8-18,471
2016-8-19,481
2016-8-20,471
2016-8-21,471
2016-8-22,471
2016-8-23,477
2016-8-24,477
2016-8-25,477
2016-8-26,471
2016-8-27,452
2016-8-28,448
2016-8-29,443
2016-8-30,443
2016-8-31,443
2016-9-1,-
2016-9-2,-
2016-9-3,-
2016-9-4,-
2016-9-5,-
2016-9-6,-
2016-9-7,-
2016-9-8,-
2016-9-9,-
2016-9-10,-
2016-9-11,-
2016-9-12,-
2016-9-13,-
2016-9-14,-
2016-9-15,-
2016-9-16,-
2016-9-17,-
2016-9-18,-
2016-9-19,-
2016-9-20,-
2016-9-21,-
2016-9-22,-
2016-9-23,-
2016-9-24,-
2016-9-25,-
2016-9-26,-
2016-9-27,-
2016-9-28,-
2016-9-29,-
2016-9-30,-
2016-10-1,-
2016-10-2,-
2016-10-3,-
2016-10-4,-
2016-10-5,-
2016-10-6,-
2016-10-7,-
2016-10-8,-
2016-10-9,-
2016-10-10,-
2016-10-11,-
2016-10-12,-
2016-10-13,-
2016-10-14,-
2016-10-15,-
2016-10-16,-
2016-10-17,-
2016-10-18,-
2016-10-19,-
2016-10-20,-
2016-10-21,-
2016-10-22,-
2016-10-23,-
2016-10-24,-
2016-10-25,-
2016-10-26,-
2016-10-27,-
2016-10-28,-
2016-10-29,-
2016-10-30,-
2016-10-31,-
2016-11-1,-
2016-11-2,-
2016-11-3,-
2016-11-4,-
2016-11-5,-
2016-11-6,-
2016-11-7,-
2016-11-8,-
2016-11-9,-
2016-11-10,-
2016-11-11,-
2016-11-12,-
2016-11-13,-
2016-11-14,-
2016-11-15,-
2016-11-16,-
2016-11-17,-
2016-11-18,-
2016-11-19,-
2016-11-20,-
2016-11-21,-
2016-11-22,-
2016-11-23,-
2016-11-24,-
2016-11-25,-
2016-11-26,-
2016-11-27,-
2016-11-28,-
2016-11-29,-
2016-11-30,-
2016-12-1,-
2016-12-2,-
2016-12-3,-
2016-12-4,-
2016-12-5,-
2016-12-6,-
2016-12-7,-
2016-12-8,-
2016-12-9,-
2016-12-10,-
2016-12-11,-
2016-12-12,-
2016-12-13,-
2016-12-14,-
2016-12-15,-
2016-12-16,-
2016-12-17,-
2016-12-18,-
2016-12-19,-
2016-12-20,-
2016-12-21,-
2016-12-22,-
2016-12-23,-
2016-12-24,-
2016-12-25,-
2016-12-26,-
2016-12-27,-
2016-12-28,-
2016-12-29,-
2016-12-30,-
2016-12-31,-
2017-1-1,-
2017-1-2,-
2017-1-3,-
2017-1-4,-
2017-1-5,-
2017-1-6,-
2017-1-7,-
2017-1-8,-
2017-1-9,-
2017-1-10,-
2017-1-11,-
2017-1-12,-
2017-1-13,-
2017-1-14,-
2017-1-15,-
2017-1-16,-
2017-1-17,-
2017-1-18,-
2017-1-19,-
2017-1-20,-
2017-1-21,-
2017-1-22,-
2017-1-23,-
2017-1-24,-
2017-1-25,-
2017-1-26,-
2017-1-27,-
2017-1-28,-
2017-1-29,-
2017-1-30,-
2017-1-31,-
2017-2-1,-
2017-2-2,-
2017-2-3,-
2017-2-4,-
2017-2-5,-
2017-2-6,-
2017-2-7,-
2017-2-8,-
2017-2-9,-
2017-2-10,-
2017-2-11,-
2017-2-12,-
2017-2-13,-
2017-2-14,-
2017-2-15,-
2017-2-16,-
2017-2-17,-
2017-2-18,-
2017-2-19,-
2017-2-20,-
2017-2-21,-
2017-2-22,-
2017-2-23,-
2017-2-24,-
2017-2-25,-
2017-2-26,-
2017-2-27,-
2017-2-28,-
2017-3-1,-
