ds,y
2016-1-1,422
2016-1-2,422
2016-1-3,422
2016-1-4,422
2016-1-5,422
2016-1-6,422
2016-1-7,422
2016-1-8,422
2016-1-9,422
2016-1-10,422
2016-1-11,422
2016-1-12,422
2016-1-13,422
2016-1-14,422
2016-1-15,422
2016-1-16,422
2016-1-17,422
2016-1-18,422
2016-1-19,422
2016-1-20,422
2016-1-21,410
2016-1-22,410
2016-1-23,412
2016-1-24,412
2016-1-25,423
2016-1-26,423
2016-1-27,423
2016-1-28,423
2016-1-29,423
2016-1-30,423
2016-1-31,423
2016-2-1,405
2016-2-2,395
2016-2-3,395
2016-2-4,380
2016-2-5,380
2016-2-6,375
2016-2-7,375
2016-2-8,375
2016-2-9,375
2016-2-10,375
2016-2-11,377
2016-2-12,377
2016-2-13,377
2016-2-14,377
2016-2-15,377
2016-2-16,377
2016-2-17,377
2016-2-18,367
2016-2-19,367
2016-2-20,367
2016-2-21,367
2016-2-22,367
2016-2-23,367
2016-2-24,367
2016-2-25,357
2016-2-26,357
2016-2-27,343
2016-2-28,343
2016-3-1,330
2016-3-2,330
2016-3-3,330
2016-3-4,330
2016-3-5,330
2016-3-6,330
2016-3-7,340
2016-3-8,340
2016-3-9,340
2016-3-10,340
2016-3-11,340
2016-3-12,340
2016-3-13,340
2016-3-14,325
2016-3-15,325
2016-3-16,325
2016-3-17,320
2016-3-18,320
2016-3-19,320
2016-3-20,320
2016-3-21,332
2016-3-22,332
2016-3-23,332
2016-3-24,340
2016-3-25,340
2016-3-26,352
2016-3-27,352
2016-3-28,352
2016-3-29,352
2016-3-30,352
2016-3-31,355
2016-4-1,355
2016-4-2,355
2016-4-3,355
2016-4-4,355
2016-4-5,355
2016-4-6,355
2016-4-7,345
2016-4-8,345
2016-4-9,345
2016-4-10,345
2016-4-11,345
2016-4-12,345
2016-4-13,335
2016-4-14,330
2016-4-15,330
2016-4-16,330
2016-4-17,330
2016-4-18,330
2016-4-19,330
2016-4-20,330
2016-4-21,330
2016-4-22,330
2016-4-23,315
2016-4-24,315
2016-4-25,315
2016-4-26,315
2016-4-27,315
2016-4-28,315
2016-4-29,317
2016-4-30,317
2016-5-1,327
2016-5-2,345
2016-5-3,345
2016-5-4,345
2016-5-5,375
2016-5-6,375
2016-5-7,402
2016-5-8,402
2016-5-9,417
2016-5-10,425
2016-5-11,433
2016-5-12,445
2016-5-13,452
2016-5-14,458
2016-5-15,458
2016-5-16,462
2016-5-17,462
2016-5-18,462
2016-5-19,447
2016-5-20,447
2016-5-21,427
2016-5-22,427
2016-5-23,432
2016-5-24,432
2016-5-25,432
2016-5-26,432
2016-5-27,432
2016-5-28,412
2016-5-29,412
2016-5-30,412
2016-5-31,412
2016-6-1,412
2016-6-2,405
2016-6-3,405
2016-6-4,405
2016-6-5,405
2016-6-6,405
2016-6-7,405
2016-6-8,405
