ds,y
2016-1-1,444
2016-1-2,444
2016-1-3,444
2016-1-4,444
2016-1-5,444
2016-1-6,440
2016-1-7,430
2016-1-8,430
2016-1-9,430
2016-1-10,430
2016-1-11,430
2016-1-12,430
2016-1-13,430
2016-1-14,430
2016-1-15,420
2016-1-16,420
2016-1-17,420
2016-1-18,420
2016-1-19,420
2016-1-20,420
2016-1-21,410
2016-1-22,410
2016-1-23,420
2016-1-24,430
2016-1-25,430
2016-1-26,445
2016-1-27,445
2016-1-28,450
2016-1-29,450
2016-1-30,440
2016-1-31,430
2016-2-1,430
2016-2-2,415
2016-2-3,415
2016-2-4,415
2016-2-5,400
2016-2-6,400
2016-2-7,395
2016-2-8,395
2016-2-9,395
2016-2-10,395
2016-2-11,395
2016-2-12,395
2016-2-13,395
2016-2-14,395
2016-2-15,395
2016-2-16,385
2016-2-17,375
2016-2-18,365
2016-2-19,365
2016-2-20,365
2016-2-21,365
2016-2-22,365
2016-2-23,365
2016-2-24,365
2016-2-25,355
2016-2-26,350
2016-2-27,340
2016-2-28,335
2016-3-1,330
2016-3-2,320
2016-3-3,320
2016-3-4,315
2016-3-5,315
2016-3-6,315
2016-3-7,315
2016-3-8,320
2016-3-9,320
2016-3-10,325
2016-3-11,325
2016-3-12,325
2016-3-13,315
2016-3-14,315
2016-3-15,315
2016-3-16,310
2016-3-17,310
2016-3-18,310
2016-3-19,315
2016-3-20,320
2016-3-21,320
2016-3-22,335
2016-3-23,342
2016-3-24,342
2016-3-25,347
2016-3-26,347
2016-3-27,349
2016-3-28,349
2016-3-29,349
2016-3-30,349
2016-3-31,345
2016-4-1,345
2016-4-2,345
2016-4-3,345
2016-4-4,345
2016-4-5,335
2016-4-6,335
2016-4-7,335
2016-4-8,325
2016-4-9,325
2016-4-10,320
2016-4-11,320
2016-4-12,315
2016-4-13,315
2016-4-14,310
2016-4-15,310
2016-4-16,310
2016-4-17,310
2016-4-18,310
2016-4-19,313
2016-4-20,313
2016-4-21,313
2016-4-22,310
2016-4-23,305
2016-4-24,305
2016-4-25,305
2016-4-26,305
2016-4-27,307
2016-4-28,309
2016-4-29,311
2016-4-30,316
2016-5-1,325
2016-5-2,325
2016-5-3,340
2016-5-4,355
2016-5-5,365
2016-5-6,380
2016-5-7,395
2016-5-8,420
2016-5-9,420
2016-5-10,425
2016-5-11,435
2016-5-12,445
2016-5-13,455
2016-5-14,465
2016-5-15,480
2016-5-16,480
2016-5-17,480
2016-5-18,480
2016-5-19,460
2016-5-20,440
2016-5-21,425
2016-5-22,425
2016-5-23,425
2016-5-24,425
2016-5-25,425
2016-5-26,425
2016-5-27,400
2016-5-28,385
2016-5-29,375
2016-5-30,375
2016-5-31,377
2016-6-1,382
2016-6-2,385
2016-6-3,388
2016-6-4,388
2016-6-5,394
2016-6-6,394
2016-6-7,400
2016-6-8,403
2016-6-9,406
2016-6-10,409
2016-6-11,412
2016-6-12,417
2016-6-13,417
2016-6-14,425
2016-6-15,430
2016-6-16,435
2016-6-17,440
2016-6-18,443
2016-6-19,446
2016-6-20,446
2016-6-21,452
2016-6-22,455
2016-6-23,460
2016-6-24,363
2016-6-25,365
2016-6-26,467
