ds,y
2016-1-1,407
2016-1-2,407
2016-1-3,407
2016-1-4,407
2016-1-5,407
2016-1-6,395
2016-1-7,390
2016-1-8,382
2016-1-9,382
2016-1-10,382
2016-1-11,384
2016-1-12,384
2016-1-13,384
2016-1-14,384
2016-1-15,384
2016-1-16,384
2016-1-17,384
2016-1-18,377
2016-1-19,377
2016-1-20,372
2016-1-21,372
2016-1-22,374
2016-1-23,379
2016-1-24,385
2016-1-25,388
2016-1-26,400
2016-1-27,405
2016-1-28,405
2016-1-29,405
2016-1-30,405
2016-1-31,405
2016-2-1,390
2016-2-2,383
2016-2-3,378
2016-2-4,378
2016-2-5,378
2016-2-6,378
2016-2-7,378
2016-2-8,365
2016-2-9,365
2016-2-10,365
2016-2-11,365
2016-2-12,360
2016-2-13,360
2016-2-14,360
2016-2-15,360
2016-2-16,347
2016-2-17,340
2016-2-18,340
2016-2-19,330
2016-2-20,330
2016-2-21,330
2016-2-22,320
2016-2-23,320
2016-2-24,320
2016-2-25,320
2016-2-26,320
2016-2-27,310
2016-2-28,310
2016-3-1,300
2016-3-2,295
2016-3-3,295
2016-3-4,295
2016-3-5,295
2016-3-6,295
2016-3-7,295
2016-3-8,295
2016-3-9,295
2016-3-10,295
2016-3-11,295
2016-3-12,295
2016-3-13,285
2016-3-14,285
2016-3-15,285
2016-3-16,285
2016-3-17,285
2016-3-18,285
2016-3-19,285
2016-3-20,290
2016-3-21,295
2016-3-22,302
2016-3-23,307
2016-3-24,312
2016-3-25,315
2016-3-26,315
2016-3-27,318
2016-3-28,318
2016-3-29,318
2016-3-30,318
2016-3-31,318
2016-4-1,318
2016-4-2,318
2016-4-3,318
2016-4-4,318
2016-4-5,318
2016-4-6,318
2016-4-7,318
2016-4-8,310
2016-4-9,310
2016-4-10,310
2016-4-11,310
2016-4-12,301
2016-4-13,294
2016-4-14,294
2016-4-15,285
2016-4-16,287
2016-4-17,287
2016-4-18,287
2016-4-19,287
2016-4-20,278
2016-4-21,278
2016-4-22,278
2016-4-23,278
2016-4-24,278
2016-4-25,278
2016-4-26,278
2016-4-27,278
2016-4-28,278
2016-4-29,280
2016-4-30,280
2016-5-1,285
2016-5-2,290
2016-5-3,301
2016-5-4,311
2016-5-5,325
2016-5-6,340
2016-5-7,355
2016-5-8,365
2016-5-9,375
2016-5-10,385
2016-5-11,385
2016-5-12,395
2016-5-13,405
2016-5-14,415
2016-5-15,415
2016-5-16,420
2016-5-17,420
2016-5-18,420
2016-5-19,420
2016-5-20,400
2016-5-21,400
2016-5-22,400
2016-5-23,390
2016-5-24,390
2016-5-25,390
2016-5-26,390
2016-5-27,370
2016-5-28,350
2016-5-29,340
2016-5-30,340
2016-5-31,345
2016-6-1,350
2016-6-2,350
2016-6-3,350
2016-6-4,355
2016-6-5,355
2016-6-6,358
2016-6-7,362
2016-6-8,362
2016-6-9,362
2016-6-10,367
2016-6-11,367
2016-6-12,369
2016-6-13,371
2016-6-14,373
2016-6-15,378
2016-6-16,381
2016-6-17,384
2016-6-18,386
2016-6-19,389
2016-6-20,391
2016-6-21,394
2016-6-22,398
2016-6-23,402
2016-6-24,407
2016-6-25,409
2016-6-26,409
2016-6-27,411
2016-6-28,411
2016-6-29,411
2016-6-30,411
2016-7-1,411
2016-7-2,411
2016-7-3,411
2016-7-4,411
2016-7-5,411
2016-7-6,411
2016-7-7,411
2016-7-8,413
2016-7-9,413
2016-7-10,415
2016-7-11,415
2016-7-12,415
2016-7-13,415
2016-7-14,417
2016-7-15,419
2016-7-16,419
2016-7-17,419
2016-7-18,419
2016-7-19,419
2016-7-20,419
2016-7-21,419
2016-7-22,419
2016-7-23,419
2016-7-24,419
2016-7-25,419
2016-7-26,419
2016-7-27,419
2016-7-28,419
2016-7-29,419
2016-7-30,419
2016-7-31,407
2016-8-1,380
2016-8-2,383
2016-8-3,386
2016-8-4,386
2016-8-5,386
2016-8-6,386
2016-8-7,389
2016-8-8,392
2016-8-9,397
2016-8-10,402
2016-8-11,412
2016-8-12,422
2016-8-13,432
2016-8-14,442
2016-8-15,447
2016-8-16,447
2016-8-17,447
2016-8-18,447
2016-8-19,447
2016-8-20,430
2016-8-21,430
2016-8-22,435
2016-8-23,438
2016-8-24,438
2016-8-25,438
2016-8-26,425
2016-8-27,425
2016-8-28,425
2016-8-29,405
2016-8-30,405
2016-8-31,405
2016-9-1,320
2016-9-2,325
2016-9-3,325
2016-9-4,325
2016-9-5,325
2016-9-6,325
2016-9-7,327
2016-9-8,327
2016-9-9,329
2016-9-10,337
2016-9-11,342
2016-9-12,345
2016-9-13,350
2016-9-14,357
2016-9-15,367
2016-9-16,374
2016-9-17,378
2016-9-18,378
2016-9-19,378
2016-9-20,378
2016-9-21,363
2016-9-22,363
2016-9-23,363
2016-9-24,363
2016-9-25,363
2016-9-26,363
2016-9-27,363
2016-9-28,363
2016-9-29,363
2016-9-30,363
2016-10-1,363
2016-10-2,363
2016-10-3,363
2016-10-4,363
2016-10-5,363
2016-10-6,363
2016-10-7,363
2016-10-8,363
2016-10-9,363
2016-10-10,363
2016-10-11,363
2016-10-12,363
2016-10-13,350
2016-10-14,350
2016-10-15,352
2016-10-16,355
