ds,y
2016-1-1,415
2016-1-2,415
2016-1-3,415
2016-1-4,415
2016-1-5,415
2016-1-6,403
2016-1-7,398
2016-1-8,390
2016-1-9,390
2016-1-10,390
2016-1-11,390
2016-1-12,390
2016-1-13,390
2016-1-14,390
2016-1-15,390
2016-1-16,392
2016-1-17,392
2016-1-18,385
2016-1-19,385
2016-1-20,380
2016-1-21,380
2016-1-22,380
2016-1-23,390
2016-1-24,395
2016-1-25,400
2016-1-26,405
2016-1-27,410
2016-1-28,410
2016-1-29,410
2016-1-30,410
2016-1-31,410
2016-2-1,405
2016-2-2,398
2016-2-3,393
2016-2-4,393
2016-2-5,393
2016-2-6,393
2016-2-7,393
2016-2-8,380
2016-2-9,380
2016-2-10,385
2016-2-11,385
2016-2-12,375
2016-2-13,375
2016-2-14,375
2016-2-15,375
2016-2-16,360
2016-2-17,353
2016-2-18,353
2016-2-19,340
2016-2-20,340
2016-2-21,340
2016-2-22,330
2016-2-23,330
2016-2-24,330
2016-2-25,330
2016-2-26,330
2016-2-27,320
2016-2-28,320
2016-3-1,310
2016-3-2,305
2016-3-3,305
2016-3-4,305
2016-3-5,305
2016-3-6,305
2016-3-7,305
2016-3-8,305
2016-3-9,305
2016-3-10,306
2016-3-11,306
2016-3-12,306
2016-3-13,306
2016-3-14,306
2016-3-15,306
2016-3-16,306
2016-3-17,306
2016-3-18,306
2016-3-19,306
2016-3-20,308
2016-3-21,310
2016-3-22,315
2016-3-23,320
2016-3-24,322
2016-3-25,324
2016-3-26,324
2016-3-27,326
2016-3-28,326
2016-3-29,326
2016-3-30,326
2016-3-31,326
2016-4-1,326
2016-4-2,326
2016-4-3,326
2016-4-4,326
2016-4-5,326
2016-4-6,326
2016-4-7,326
2016-4-8,318
2016-4-9,318
2016-4-10,318
2016-4-11,318
2016-4-12,309
2016-4-13,310
2016-4-14,310
2016-4-15,310
2016-4-16,310
2016-4-17,310
2016-4-18,310
2016-4-19,310
2016-4-20,290
2016-4-21,290
2016-4-22,290
2016-4-23,290
2016-4-24,290
2016-4-25,290
2016-4-26,290
2016-4-27,290
2016-4-28,290
2016-4-29,290
2016-4-30,290
2016-5-1,292
2016-5-2,295
2016-5-3,310
2016-5-4,320
2016-5-5,335
2016-5-6,350
2016-5-7,360
2016-5-8,370
2016-5-9,380
2016-5-10,390
2016-5-11,390
2016-5-12,400
2016-5-13,410
2016-5-14,420
2016-5-15,430
2016-5-16,430
2016-5-17,430
2016-5-18,430
2016-5-19,430
2016-5-20,410
2016-5-21,400
2016-5-22,400
2016-5-23,400
2016-5-24,400
2016-5-25,400
2016-5-26,400
2016-5-27,380
2016-5-28,360
2016-5-29,350
2016-5-30,350
2016-5-31,355
2016-6-1,360
2016-6-2,360
2016-6-3,360
2016-6-4,365
2016-6-5,365
2016-6-6,365
2016-6-7,371
2016-6-8,371
2016-6-9,374
2016-6-10,379
2016-6-11,379
2016-6-12,379
2016-6-13,382
2016-6-14,384
2016-6-15,389
2016-6-16,392
2016-6-17,395
2016-6-18,396
2016-6-19,400
2016-6-20,400
2016-6-21,405
2016-6-22,409
2016-6-23,413
2016-6-24,416
2016-6-25,416
2016-6-26,416
2016-6-27,416
2016-6-28,416
2016-6-29,416
2016-6-30,416
2016-7-1,416
2016-7-2,416
2016-7-3,416
2016-7-4,416
2016-7-5,416
2016-7-6,416
2016-7-7,416
2016-7-8,416
2016-7-9,418
2016-7-10,418
2016-7-11,418
2016-7-12,418
2016-7-13,420
2016-7-14,422
2016-7-15,424
2016-7-16,424
2016-7-17,424
2016-7-18,424
2016-7-19,424
2016-7-20,424
2016-7-21,424
2016-7-22,424
2016-7-23,424
2016-7-24,424
2016-7-25,424
2016-7-26,424
2016-7-27,424
2016-7-28,424
2016-7-29,424
2016-7-30,424
2016-7-31,416
2016-8-1,435
2016-8-2,435
2016-8-3,435
2016-8-4,400
2016-8-5,400
2016-8-6,400
2016-8-7,400
2016-8-8,405
2016-8-9,405
2016-8-10,425
2016-8-11,430
2016-8-12,435
2016-8-13,440
2016-8-14,445
2016-8-15,450
2016-8-16,450
2016-8-17,450
2016-8-18,450
2016-8-19,450
2016-8-20,430
2016-8-21,430
2016-8-22,435
2016-8-23,438
2016-8-24,438
2016-8-25,438
2016-8-26,425
2016-8-27,425
2016-8-28,425
2016-8-29,425
2016-8-30,425
2016-8-31,425
2016-9-1,332
2016-9-2,332
2016-9-3,332
2016-9-4,332
2016-9-5,332
2016-9-6,332
2016-9-7,334
2016-9-8,334
2016-9-9,336
2016-9-10,346
2016-9-11,351
2016-9-12,355
2016-9-13,360
2016-9-14,375
2016-9-15,380
2016-9-16,387
2016-9-17,387
2016-9-18,387
2016-9-19,387
2016-9-20,387
2016-9-21,372
2016-9-22,372
2016-9-23,372
2016-9-24,372
2016-9-25,372
2016-9-26,372
2016-9-27,372
2016-9-28,372
2016-9-29,372
2016-9-30,372
2016-10-1,372
